book,context,page,type,classification_confidence,english,zh_tw
BGDIA,data/0/name,5,HEADING_LABEL,0.99,About the Adventure,關於冒險
BGDIA,data/0/entries/0,5,DM_INSTRUCTION,0.85,"Designed for an adventuring party of four to six 1st-level characters, {@i Baldur's Gate: Descent into Avernus} is a Dungeons & Dragons adventure that begins in the city of Baldur's Gate and ends in Avernus, the first layer of the Nine Hells. By the end of the adventure, the characters should be 13th level or higher. To run this adventure, you need the fifth edition {@book Player's Handbook|PHB}, {@book Dungeon Master's Guide|DMG}, and {@book Monster Manual|MM}.",《{@i 博德之門：墜入阿弗納斯}》是為一支4至6名1級角色組成的冒險隊伍而設計的D&D冒險，該冒險會從博德之門的城區開始，然後結束於九獄的第一層阿弗納斯。在冒險結束時，角色們應到達13或更高的等級。為了運作這場冒險您還需要第五版的{@book 玩家手冊|PHB}、{@book 城主指南|DMG}和{@book 怪物圖鑑|MM}。
BGDIA,data/0/entries/1,5,DM_INSTRUCTION,0.85,"Use the first session of the game to help your players create their 1st-level characters. As part of this process, the players can choose their party's dark secret (see ""{@area Dark Secrets|3ec|x}"").","使用本章來幫助你的玩家們建立他們的1級角色。作為建立過程的一部分，玩家們可以為他們的隊伍選擇一個黑暗秘密（見""{@area 黑暗秘密|3ec|x}""）。"
BGDIA,data/0/entries/2/name,5,HEADING_LABEL,0.99,Adventure Overview,冒險概述
BGDIA,data/0/entries/2/entries/0,5,DM_INSTRUCTION,0.85,"The holy city of Elturel has disappeared from the Forgotten Realms and descended into Avernus, the first layer of the Nine Hells. This event came about as the result of an infernal bargain between the archdevil Zariel, who rules Avernus, and the treacherous High Overseer of Elturel, {@creature Thavius Kreeg|BGDIA}. Zariel is capturing cities and using their citizens as fodder in the ongoing conflict between demons and devils known as the Blood War. Next on Zariel's list of cities is Elturel's neighbor, Baldur's Gate. The characters can be the heroes who descend into Avernus, save Elturel from certain destruction, and prevent a similar fate from befalling Baldur's Gate.",聖城艾爾托瑞爾從被遺忘的國度消失並墜入了九獄第一層，阿弗納斯。此事為阿弗納斯的統治者，魔鬼大公扎瑞爾與背叛了的艾爾托瑞爾最高監視者，塔維斯·克雷格{@creature Thavius Kreeg|BGDIA|塔維斯·克雷格}間的地獄契約所致。扎瑞爾正在捕獲城市，將市民當做飼料撒進魔鬼與惡魔間持續已久的血戰。扎瑞爾清單上的下一個城市便是艾爾托瑞爾的鄰居——博德之門。角色們可以成為進入阿弗納斯的英雄，將艾爾托瑞爾從毀滅的命運中拯救出來，並阻止博德之門陷入同樣的命運。
BGDIA,data/0/entries/2/entries/1/name,5,HEADING_LABEL,0.99,Trouble in Baldur's Gate,博德之門的麻煩
BGDIA,data/0/entries/2/entries/1/entries/0,5,DM_INSTRUCTION,0.85,"{@adventure Chapter 1|BGDIA|1} begins in the independent city of Baldur's Gate, where the characters find themselves trapped behind the city's walls after the gates are sealed to keep out hundreds of refugees from the neighboring land of Elturgard. However, the gates can't hold back news that Elturgard's capital has fallen, and that Grand Duke {@creature Ulder Ravengard|BGDIA} of Baldur's Gate is missing—lost on a diplomatic mission to Elturel. The fact that Elturel's misfortune coincided with Ravengard's visit has left Baldurians wondering whether Baldur's Gate will suffer Elturel's fate.",{@adventure 第一章|BGDIA|1} 開始於獨立都市博德之門，角色們在那裡發現自己被博德之門為了阻擋數以百計的埃爾圖迦德難民而緊閉的大門擋在了城牆外面。然而城門擋不住埃爾圖迦德的首都已然陷落以及在此城中進行外交任務的烏爾德·瑞文嘉德大公{@creature Ulder Ravengard|BGDIA|烏爾德·瑞文嘉德}公一同失蹤的訊息的流傳。艾爾托瑞爾的災難恰巧在瑞文加德因訪問而離開博德之門時發生，這令博德之門居民生恐博德之門也遭受與艾爾托瑞爾相同的命運。
BGDIA,data/0/entries/2/entries/1/entries/1,5,DM_INSTRUCTION,0.85,"The characters are drafted by the Flaming Fist, the army of mercenaries tasked with protecting Baldur's Gate. Without Grand Duke {@creature Ulder Ravengard|BGDIA} to lead them, the Flaming Fist mercenaries are little more than glorified thugs. The characters' orders are to help maintain peace by rooting out and destroying followers of Bane, Bhaal, and Myrkul—evil gods collectively known as the Dead Three. These vile priests, assassins, and necromancers are murdering city folk at random, and the Flaming Fist is too distracted and disorganized to hunt them down and find their lair. In the course of their investigation, the characters learn that the Dead Three cultists are secretly being financed by Thalamra Vanthampur, one of three remaining dukes who preside over the government of Baldur's Gate, using money stolen from the hoard of Tiamat, the evil queen of dragons imprisoned in the Nine Hells.",角色們被保護博德之門的僱傭兵焰拳徵召。失去了烏爾德·瑞文加德大公{@creature Ulder Ravengard|BGDIA|烏爾德·瑞文嘉德}領導的焰拳不過是衣著光鮮的暴徒。。給角色們的命令是去根除並摧毀城內被稱為死亡三神的巴爾，班恩和米爾寇的追隨者們來幫助維護和平。這些邪惡的牧師、刺客以及死靈法師在隨機的謀殺城市居民，而焰拳因力不從心和內部混亂而無法追捕這些邪教徒以及找到他們的老巢。在角色們調查的過程中會逐漸發現死亡三神的邪教徒正被主持博德之門當局的剩餘三公爵之一的薩拉瑪拉·範薩姆普爾公爵使用從被囚禁在九獄的邪惡龍後提亞馬特的寶庫中偷來的金錢進行資助。
BGDIA,data/0/entries/2/entries/1/entries/2,5,NARRATIVE,0.8,"With Grand Duke {@creature Ulder Ravengard|BGDIA} out of the way, Thalamra is paying the Dead Three to shatter confidence in the Flaming Fist so that all payments to the decapitated organization can be cut off. Thalamra, a devout disciple of the archdevil Zariel, has brokered a deal that will enable her to claim the role of grand duke once the Flaming Fist disbands, paving the way for the city's descent into Avernus. To accomplish this last goal, Thalamra needs an artifact called the {@item Shield of the Hidden Lord|BGDIA}, imprisoned in which is a pit fiend named Gargauth. Until recently, the shield was sealed in a tomb under the city, but Thalamra's sons recently stole it and transported it to the dungeon below their villa. So corrupt is the shield that its mere presence in Baldur's Gate has contributed to the city's moral decay for decades.",在大公{@creature Ulder Ravengard|BGDIA|烏爾德·瑞文嘉德}失蹤期間，薩拉瑪拉付錢給死亡三神教徒來破壞大家對焰拳的信任以便中止所有給這個群龍無首的組織的酬金。薩拉瑪拉是魔鬼大公扎瑞爾的一名虔誠信奉者，她已經談好了一筆交易：在焰拳解散，給把這個城市打入地獄掃除障礙後，扎瑞爾便能助她成為大公。為了達成這個最終的目標，薩拉瑪拉需要一件名為{@item Shield of the Hidden Lord|BGDIA|隱藏領主的盾牌}的神器，其內囚禁著名為加葛斯的深獄煉魔。直到不久前這面盾牌還被封印在這座城市的一座地下墓穴裡，但是薩拉瑪拉的兒子們最近把它偷了出來並轉移到了他們別墅下方的地城裡。這面盾牌是如此地汙穢，僅僅是存在於博德之門就造成了市民們數十年來的道德敗壞。
BGDIA,data/0/entries/2/entries/1/entries/3,5,DM_INSTRUCTION,0.85,"To keep Baldur's Gate from falling into Zariel's clutches, the characters must take the shield far away from the city. Reya Mantlemorn, a young knight from Elturel, suspects that the Vanthampurs are sheltering {@creature Thavius Kreeg|BGDIA} at their estate and offers aid. Characters who storm Duke Vanthampur's villa find Thavius hidden in the dungeon below it. Thavius is helping Thalamra Vanthampur use the {@item Shield of the Hidden Lord|BGDIA} to bring about the fall of Baldur's Gate, in much the same fashion he used the Companion (see ""{@area The Companion|007|x}"") to doom Elturel. If the characters slay Thavius, his soul travels to the Nine Hells and re-forms as an amnizu devil on Avernus (see """"{@area Poor Devil: Thavius Kreeg|2b8|x}"").","為了防止博德之門落入扎瑞爾的魔爪，角色們必須帶著盾牌遠離城市。一名來自艾爾托瑞爾的年輕騎士，蕾婭·曼特勒蒙，懷疑範薩姆普爾家族在他們的房子裡庇護塔維斯·克雷格{@creature Thavius Kreeg|BGDIA|塔維斯·克雷格}併為其提供幫助。闖入範薩姆普爾公爵別墅的角色們可以在那裡下方的地城裡發現塔維斯。他在協助薩拉瑪拉·範薩姆普爾使用{@item Shield of the Hidden Lord|BGDIA|隱藏領主的盾牌}給博德之門帶去墜落，就像他透過伴陽（參見""{@area 伴陽|007|x}""）帶給艾爾托瑞爾末日的那樣。如果角色們殺死了塔維斯，他的靈魂會前往九獄並在阿弗納斯被重塑為一隻安祖魔（參見""""{@area 可憐的魔鬼：塔維斯·克雷格|2b8|x}""）。"
