book,context,english,zh_tw,status
KftGV,/data/0/name,Introduction–A Collection of Heists,導言：劫案集,project-proposed
KftGV,/data/0/entries/2/name,Using the Adventures,使用冒險,project-proposed
KftGV,/data/0/entries/2/entries/1/items/0/name,Mission Briefing,任務簡報,project-proposed
KftGV,/data/0/entries/2/entries/1/items/1/name,Plan the Heist,策劃搶劫,project-proposed
KftGV,/data/0/entries/2/entries/1/items/2/name,Execute the Heist,執行搶劫,project-proposed
KftGV,/data/0/entries/2/entries/1/items/3/name,Conclude the Heist,完成劫案,project-proposed
KftGV,/data/0/entries/3/name,Running the Adventures,執行冒險,project-proposed
KftGV,/data/0/entries/3/entries/4/name,Creating a Heist Crew,組建盜竊團隊,project-proposed
KftGV,/data/0/entries/3/entries/5/name,A Campaign of Heists,一場劫案行動,project-proposed
KftGV,/data/0/entries/4/name,The Golden Vault,金庫,project-proposed
KftGV,/data/0/entries/4/entries/6/name,Keys from the Golden Vault,金庫之鑰,project-proposed
KftGV,/data/0/entries/4/entries/7/name,Heroes in the Shadows,暗影中的英雄,project-proposed
KftGV,/data/0/entries/4/entries/8/name,Meera Raheer,米拉·拉希爾,existing-site
KftGV,/data/0/entries/5/name,Heist Complications,搶劫複雜情況,project-proposed
KftGV,/data/0/entries/5/entries/2/name,The Moving MacGuffin,移動的麥高芬,project-proposed
KftGV,/data/0/entries/5/entries/3/name,Rival Crew,敵對團隊,project-proposed
KftGV,/data/0/entries/5/entries/3/entries/12/name,Rival Crew in Play,遊戲中的對手團隊,project-proposed
KftGV,/data/0/entries/5/entries/3/entries/13/name,Rival Crew Motivations,競爭對手團隊的動機,project-proposed
KftGV,/data/1/name,The Murkmire Malevolence,穆克米爾的邪惡,project-proposed
KftGV,/data/1/entries/3/name,Adventure Background,冒險背景,project-proposed
KftGV,/data/1/entries/4/name,Using the Golden Vault,使用金庫,project-proposed
KftGV,/data/1/entries/5/name,A Cry for Help,求救的呼聲,project-proposed
KftGV,/data/1/entries/5/entries/2/items/0/name,Dannell Family Friend,丹內爾家族的朋友,project-proposed
KftGV,/data/1/entries/5/entries/2/items/1/name,Museum Enthusiast,博物館愛好者,project-proposed
KftGV,/data/1/entries/5/entries/2/items/2/name,Varkenbluff University Student,瓦肯布盧夫大學學生,project-proposed
KftGV,/data/1/entries/5/entries/5/name,The Clock Is Ticking,時間在滴答作響,project-proposed
KftGV,/data/1/entries/5/entries/5/entries/5/name,What Dr. Dannell Knows,丹內爾博士所知道的,project-proposed
KftGV,/data/1/entries/5/entries/5/entries/5/entries/2/items/0/name,Getting the Egg,獲取卵,project-proposed
KftGV,/data/1/entries/5/entries/5/entries/5/entries/2/items/1/name,Traits of the Egg,蛋的特徵,project-proposed
KftGV,/data/1/entries/5/entries/5/entries/5/entries/2/items/2/name,Containing the Egg,控制卵,project-proposed
KftGV,/data/1/entries/5/entries/5/entries/5/entries/2/items/3/name,What's in the Egg,蛋裡有什麼,project-proposed
KftGV,/data/1/entries/5/entries/5/entries/6/name,Stealing the Murkmire Stone,偷取穆克米爾石,project-proposed
KftGV,/data/1/entries/5/entries/5/entries/7/name,Dr. Dannell's Tools,丹內爾博士的工具,project-proposed
KftGV,/data/1/entries/5/entries/5/entries/7/entries/1/name,Dannell's Map,丹內爾的地圖,project-proposed
KftGV,/data/1/entries/5/entries/5/entries/8/name,Museum Staff,博物館員工,project-proposed
KftGV,/data/1/entries/5/entries/5/entries/9/name,The Reward,回報,project-proposed
KftGV,/data/1/entries/6/name,The Opening Gala,開幕式,project-proposed
KftGV,/data/1/entries/6/entries/4/name,Scouting the Museum,偵查博物館,project-proposed
KftGV,/data/1/entries/6/entries/4/entries/3/name,Entering Nonpublic Areas,進入非公共區域,project-proposed
KftGV,/data/1/entries/6/entries/4/entries/4/name,Encountering Museum Guards,遭遇博物館警衛,project-proposed
KftGV,/data/1/entries/6/entries/4/entries/5/name,Investigating Security Measures,調查安全措施,project-proposed
KftGV,/data/1/entries/6/entries/4/entries/5/entries/1/name,Alarms,警報,project-proposed
KftGV,/data/1/entries/6/entries/4/entries/5/entries/2/name,Animated Statues,活化雕像,existing-site
