category,english,source,zh_tw,status,existing_files
action,Attack,,攻擊,existing-site,data/zh-TW/bestiary/bestiary-bgdia.json;data/zh-TW/bestiary/bestiary-bmt.json;data/zh-TW/bestiary/bestiary-cm.json;data/zh-TW/bestiary/bestiary-crcotn.json;data/zh-TW/bestiary/bestiary-erlw.json;data/zh-TW/bestiary/bestiary-fraif.json;data/zh-TW/bestiary/bestiary-ftd.json;data/zh-TW/bestiary/bestiary-ggr.json;data/zh-TW/bestiary/bestiary-idrotf.json;data/zh-TW/bestiary/bestiary-mabjov.json;data/zh-TW/bestiary/bestiary-mm.json;data/zh-TW/bestiary/bestiary-mot.json;data/zh-TW/bestiary/bestiary-mpmm.json;data/zh-TW/bestiary/bestiary-mtf.json;data/zh-TW/bestiary/bestiary-ps-x.json;data/zh-TW/bestiary/bestiary-rot.json;data/zh-TW/bestiary/bestiary-scc.json;data/zh-TW/bestiary/bestiary-vrgr.json;data/zh-TW/bestiary/legendarygroups.json;data/zh-TW/class/class-fighter.json;data/zh-TW/rules/actions.json
action,Dash,,疾走,existing-site,data/zh-TW/bestiary/bestiary-veor.json;data/zh-TW/rules/actions.json
action,Disengage,,撤離,existing-site,data/zh-TW/bestiary/bestiary-hol.json;data/zh-TW/rules/actions.json
action,Dodge,,閃避,existing-site,data/zh-TW/rules/actions.json
action,Help,,協助,existing-site,data/zh-TW/rules/actions.json
action,Help,PHB,協助,existing-site,data/zh-TW/rules/actions.json
action,Hide,,躲藏,existing-site,data/zh-TW/bestiary/bestiary-hotdq.json;data/zh-TW/rules/actions.json
background,Anthropologist,ToA,人類學家,existing-site,data/zh-TW/character-options/backgrounds.json;data/zh-TW/character-options/fluff-backgrounds.json
background,Archaeologist,ToA,考古學家,existing-site,data/zh-TW/character-options/backgrounds.json;data/zh-TW/character-options/fluff-backgrounds.json
background,Baldur's Gate Acolyte,BGDIA,博德之門侍僧,existing-site,data/zh-TW/character-options/backgrounds.json;data/zh-TW/character-options/fluff-backgrounds.json
background,Baldur's Gate Charlatan,BGDIA,博德之門騙子,existing-site,data/zh-TW/character-options/backgrounds.json;data/zh-TW/character-options/fluff-backgrounds.json
background,Baldur's Gate Criminal,BGDIA,博德之門罪犯,existing-site,data/zh-TW/character-options/backgrounds.json;data/zh-TW/character-options/fluff-backgrounds.json
background,Baldur's Gate Entertainer,BGDIA,博德之門藝人,existing-site,data/zh-TW/character-options/backgrounds.json;data/zh-TW/character-options/fluff-backgrounds.json
