context,page,type,classification_confidence,english,zh_tw
data/0/name,2,HEADING_LABEL,0.99,Foreword,前言
data/0/entries/0/title,2,NARRATIVE,0.8,"In Waterdeep, a gold coin is called a dragon, and someone has hidden half a million dragons in the City of Splendors. Tyler Jacobson illustrates the villains hunting for the treasure. May the gods protect any adventurer who stands in their way!",在深水城，金幣被稱為龍幣，有人將五十萬龍幣藏在了輝煌之城。泰勒·雅各布森為尋找寶藏的惡棍們繪製了插圖。願神明保佑任何擋在他們路上的冒險者！
data/0/entries/1,2,NARRATIVE,0.8,"A simple question began rattling around in my head over two years ago as I was bidding farewell to Barovia, dragging myself out of the depths of Maelstrom, and planning a yearlong expedition to Chult. Where do we go next? After mulling over several options, we decided it would be refreshing to return to civilization. Waterdeep: Dragon Heist is a treasure hunt with an urban backdrop. We've visited Waterdeep before, but not like this. Clever heroes will respect the city's rules. Those who get on the city's bad side are in for a rough time, as the City of Splendors is home to some of the most powerful figures in the Forgotten Realms.",兩年前，當我告別巴洛維亞，從漩渦深淵中掙扎出來，計劃前往楚爾特進行為期一年的探險時，一個簡單的問題開始在我腦海中迴響。我們接下來去哪裡？經過反覆思考，我們決定回到文明社會將是令人耳目一新的。《深水城：龍金劫》是一場以都市為背景的尋寶遊戲。我們以前去過深水城，但不是像這次這樣。聰明的英雄會尊重這座城市的規則。那些得罪了這座城市的人將會有一段艱難的時光，因為輝煌之城是被遺忘的國度中最強大人物的家園。
data/0/entries/2,2,NARRATIVE,0.8,"Charlie Sanders, a lifelong D&D player, brought his experience writing for television to the project by helping flesh out the story bible months before work on the adventure was scheduled to begin. Matthew Mercer, whom you might know from the livestreamed show {@i Critical Role}, lent us his boundless imagination and helped flesh out the villains and their motives. A D&D adventure is only as good as its villains, and Waterdeep: Dragon Heist has multiple baddies to choose from.",查理·桑德斯，一位終身《龍與地下城》玩家，早在冒險工作預定開始前幾個月，就利用他在電視寫作方面的經驗，幫助充實了故事手冊。馬修·默瑟，你可能從直播節目{@i Critical Role}中認識他，我們藉助了他無盡的想象力，幫助充實了反派及其動機。一部《龍與地下城》冒險的質量取決於其反派，而《深水城：龍金劫》有多個反派可供選擇。
data/0/entries/3,2,NARRATIVE,0.8,"Before I pull back the curtain and lead you into the heart of Waterdeep, I wish to thank Ed Greenwood for making the City of Splendors what it is: the kind of magical place you wish in your heart was real.",在我拉開帷幕，帶領你進入深水城的心臟之前，我想感謝艾德·格林伍德，是他讓輝煌之城成為它現在的樣子：一個你內心深處希望它真實存在的神奇之地。
data/0/entries/4,2,NARRATIVE,0.8,{@b Chris Perkins} December 2017,{@b Chris Perkins} 2017年12月
data/0/entries/5/name,4,HEADING_LABEL,0.99,Pronunciation Guide,發音指南
data/0/entries/5/entries/0/colLabels/0,4,HEADING_LABEL,0.99,Name,名稱
data/0/entries/5/entries/0/colLabels/1,4,HEADING_LABEL,0.99,Pronunciation,發音
data/0/entries/5/entries/0/rows/0/0,4,TABLE,0.99,Agorn Fuoco,阿戈恩·弗奧科
data/0/entries/5/entries/0/rows/0/1,4,TABLE,0.99,AY-gorn foo-OH-koh,AY-gorn foo-OH-koh
data/0/entries/5/entries/0/rows/1/0,4,TABLE,0.99,Ahghairon,阿蓋爾倫
data/0/entries/5/entries/0/rows/1/1,4,TABLE,0.99,ah-GAIR-awn,ah-GAIR-awn
data/0/entries/5/entries/0/rows/2/0,4,TABLE,0.99,{@creature Ahmaergo|WDH},{@creature Ahmaergo|WDH|阿莫戈}
data/0/entries/5/entries/0/rows/2/1,4,TABLE,0.99,ah-MAIR-go,ah-MAIR-go
data/0/entries/5/entries/0/rows/3/0,4,TABLE,0.99,Alcedor Kolat,阿爾塞多·克拉特
data/0/entries/5/entries/0/rows/3/1,4,TABLE,0.99,awl-SEE-door KOH-lat,awl-SEE-door KOH-lat
data/0/entries/5/entries/0/rows/4/0,4,TABLE,0.99,Alturiak (month),阿爾圖里亞克（月份）
data/0/entries/5/entries/0/rows/4/1,4,TABLE,0.99,awl-TUR-ee-ak,awl-TUR-ee-ak
data/0/entries/5/entries/0/rows/5/0,4,TABLE,0.99,Amath Sercent,阿瑪斯·瑟森特
data/0/entries/5/entries/0/rows/5/1,4,TABLE,0.99,AH-math SER-sent,AH-math SER-sent
data/0/entries/5/entries/0/rows/6/0,4,TABLE,0.99,{@creature Ammalia Cassalanter|WDH},{@creature Ammalia Cassalanter|WDH|阿瑪利亞·卡薩蘭特}
data/0/entries/5/entries/0/rows/6/1,4,TABLE,0.99,ah-MAW-lee-ah KAS-ah-lan-ter,ah-MAW-lee-ah KAS-ah-lan-ter
data/0/entries/5/entries/0/rows/7/0,4,TABLE,0.99,Arn Xalrondar,阿恩·薩爾隆達爾
data/0/entries/5/entries/0/rows/7/1,4,TABLE,0.99,ARN zal-RON-dar,ARN zal-RON-dar
