english,zh_tw,status,scope,first_book,first_page,first_context,occurrences,representative_source,variants
"""Operation: Exterminate?""","""行動：消滅？""",draft-heading-proposed,heading-only,OotA,106,data/5/entries/20/entries/6/name,1,"""Operation: Exterminate?""","""行動：消滅？"""
"""Operation: Ooze There?""","""行動：那裡有軟泥怪？""",draft-heading-proposed,heading-only,OotA,106,data/5/entries/20/entries/5/name,1,"""Operation: Ooze There?""","""行動：那裡有軟泥怪？"""
+2 Longsword,+2 長劍,draft-heading-proposed,heading-only,OotA,168,data/12/entries/3/entries/11/entries/1,3,"The troglodyte chieftain has arrayed his forces along the narrow strip of high ground between the basin and the stream. Chieftain S'slaar is a {@creature troglodyte} with 20 hit points and a {@item +2 longsword}. While he wields the sword, S'slaar gains the following action option:",+2 長劍
1. Boxed In,1. 困局,draft-heading-proposed,heading-only,OotA,34,data/1/entries/15/entries/3/name,1,1. Boxed In,1. 困局
1. Entrance,1. 入口,draft-heading-proposed,heading-only,OotA,37,data/1/entries/16/entries/6/name,3,1. Entrance Room,1. 入口
1. Entrance Room,1. 入口室,draft-heading-proposed,heading-only,OotA,37,data/1/entries/16/entries/6/name,1,1. Entrance Room,1. 入口室
1. Entrance Tunnel,1. 入口隧道,draft-heading-proposed,heading-only,OotA,168,data/12/entries/3/entries/8/name,1,1. Entrance Tunnel,1. 入口隧道
1. Entry Cavern,1. 入口洞穴,draft-heading-proposed,heading-only,OotA,172,data/12/entries/5/entries/4/name,1,1. Entry Cavern,1. 入口洞穴
1. Fungal Wilds,1. 真菌荒野,draft-heading-proposed,heading-only,OotA,87,data/4/entries/11/name,1,1. Fungal Wilds,1. 真菌荒野
1. Gate,1. 大門,draft-heading-proposed,heading-only,OotA,46,data/2/entries/13/name,1,1. Gate,1. 大門
1. Hook Horrors,1. 恐爪怪,draft-heading-proposed,heading-only,OotA,32,data/1/entries/14/entries/4/name,1,1. Hook Horrors,1. 恐爪怪
1. Secret Entrances,1. 秘密入口,draft-heading-proposed,heading-only,OotA,135,data/8/entries/13/name,1,1. Secret Entrances,1. 秘密入口
1. Southern Watch Post,1. 南部觀察哨,draft-heading-proposed,heading-only,OotA,11,data/0/entries/9/entries/5/entries/0/name,1,1. Southern Watch Post,1. 南部觀察哨
1. Stairs,1. 樓梯,draft-heading-proposed,heading-only,OotA,101,data/5/entries/6/entries/1/name,1,1. Stairs,1. 樓梯
10. Cultist Pens,10. 邪教徒圍欄,draft-heading-proposed,heading-only,OotA,77,data/3/entries/15/entries/7/entries/11/name,1,10. Cultist Pens,10. 邪教徒圍欄
10. Guard Tower,10. 守衛塔,draft-heading-proposed,heading-only,OotA,14,data/0/entries/9/entries/5/entries/9/name,1,10. Guard Tower,10. 守衛塔
10. Ruins,10. 廢墟,draft-heading-proposed,heading-only,OotA,170,data/12/entries/3/entries/17/name,1,10. Ruins,10. 廢墟
10. Slop Cave,10. 泔水洞,draft-heading-proposed,heading-only,OotA,174,data/12/entries/5/entries/13/name,1,10. Slop Cave,10. 泔水洞
10. Staging Area,10. 集結區,draft-heading-proposed,heading-only,OotA,105,data/5/entries/16/name,1,10. Staging Area,10. 集結區
11. Caves of Clatter,11. 喧譁洞穴,draft-heading-proposed,heading-only,OotA,105,data/5/entries/17/name,1,11. Caves of Clatter,11. 喧譁洞穴
11. Quasit Playground,11. 小惡魔遊樂場,draft-heading-proposed,heading-only,OotA,77,data/3/entries/15/entries/7/entries/12/name,1,11. Quasit Playground,11. 小惡魔遊樂場
11. Slave Pen,11. 奴隸圍欄,draft-heading-proposed,heading-only,OotA,15,data/0/entries/9/entries/5/entries/10/name,1,11. Slave Pen,11. 奴隸圍欄
11. Spawning Pool,11. 孵化池,draft-heading-proposed,heading-only,OotA,170,data/12/entries/3/entries/18/name,1,11. Spawning Pool,11. 孵化池
11. Spider Nest,11. 蜘蛛巢穴,draft-heading-proposed,heading-only,OotA,174,data/12/entries/5/entries/14/name,1,11. Spider Nest,11. 蜘蛛巢穴
12. Chasm,12. 裂谷,draft-heading-proposed,heading-only,OotA,174,data/12/entries/5/entries/15/name,1,12. Chasm,12. 裂谷
12. Cultist Hideout,12. 邪教徒藏身之處,draft-heading-proposed,heading-only,OotA,78,data/3/entries/15/entries/7/entries/13/name,1,12. Cultist Hideout,12. 邪教徒藏身之處
12. Geothermic Vents,12. 地熱通風口,draft-heading-proposed,heading-only,OotA,170,data/12/entries/3/entries/19/name,1,12. Geothermic Vents,12. 地熱通風口
12. Quaggoth Den,12. 幽邃熊怪巢穴,draft-heading-proposed,heading-only,OotA,15,data/0/entries/9/entries/5/entries/11/name,1,12. Quaggoth Den,12. 幽邃熊怪巢穴
12. Residential Caves,12. 住宅洞穴,draft-heading-proposed,heading-only,OotA,105,data/5/entries/18/name,1,12. Residential Caves,12. 住宅洞穴
12a. Vazuk's Home,12a. 瓦祖克的家,draft-heading-proposed,heading-only,OotA,105,data/5/entries/18/entries/3/name,1,12a. Vazuk's Home,12a. 瓦祖克的家
13. Dumping Pit,13. 傾倒坑,draft-heading-proposed,heading-only,OotA,80,data/3/entries/15/entries/7/entries/14/name,1,13. Dumping Pit,13. 傾倒坑
13. Empty Cave,13. 空洞穴,draft-heading-proposed,heading-only,OotA,170,data/12/entries/3/entries/20/name,1,13. Empty Cave,13. 空洞穴
13. Exit Tunnel,13. 出口隧道,draft-heading-proposed,heading-only,OotA,175,data/12/entries/5/entries/16/name,1,13. Exit Tunnel,13. 出口隧道
13. Northern Watch Post,13. 北方觀察哨,draft-heading-proposed,heading-only,OotA,15,data/0/entries/9/entries/5/entries/12/name,1,13. Northern Watch Post,13. 北方觀察哨
13. Speaking Stones,13. 會說話的石頭,draft-heading-proposed,heading-only,OotA,106,data/5/entries/19/name,1,13. Speaking Stones,13. 會說話的石頭
14. Diggermattock Hall,14. 掘鋤大廳,draft-heading-proposed,heading-only,OotA,106,data/5/entries/20/name,1,14. Diggermattock Hall,14. 挖掘者馬托克大廳
14. Obelisk,14. 方尖碑,draft-heading-proposed,heading-only,OotA,80,data/3/entries/15/entries/7/entries/15/name,1,14. Obelisk,14. 方尖碑
14. Pool,14. 池塘,draft-heading-proposed,heading-only,OotA,15,data/0/entries/9/entries/5/entries/13/name,1,14. Pool,14. 池塘
14. Rally Point,14. 集結點,draft-heading-proposed,heading-only,OotA,171,data/12/entries/3/entries/21/name,1,14. Rally Point,14. 集結點
14a. Fungi-Covered Doors,14a. 真菌覆蓋的門,draft-heading-proposed,heading-only,OotA,81,data/3/entries/15/entries/7/entries/16/name,1,14a. Fungi-Covered Doors,14a. 真菌覆蓋的門
15. Exit Tunnel,15. 出口隧道,draft-heading-proposed,heading-only,OotA,171,data/12/entries/3/entries/22/name,1,15. Exit Tunnel,15. 出口隧道
15. Singing Stones,15. 歌唱之石,draft-heading-proposed,heading-only,OotA,106,data/5/entries/21/name,1,15. Singing Stones,15. 歌唱之石
16. The Foaming Mug,16. 泡沫杯,draft-heading-proposed,heading-only,OotA,107,data/5/entries/22/name,1,16. The Foaming Mug,16. 泡沫杯
17. Abandoned Residences,17. 廢棄住宅,draft-heading-proposed,heading-only,OotA,108,data/5/entries/23/entries/7/name,1,17. Abandoned Residences,17. 廢棄住宅
18. Overlook,18. 俯瞰,draft-heading-proposed,heading-only,OotA,108,data/5/entries/23/entries/8/name,1,18. Overlook,18. 俯瞰
19. Crystal Garden,19. 水晶花園,draft-heading-proposed,heading-only,OotA,108,data/5/entries/23/entries/9/name,1,19. Crystal Garden,19. 水晶花園
1a. Cart Lift,1a. 手推車升降機,draft-heading-proposed,heading-only,OotA,101,data/5/entries/6/entries/1/entries/1/name,1,1a. Cart Lift,1a. 手推車升降機
1a. Northwest Entrance,1a. 西北入口,draft-heading-proposed,heading-only,OotA,135,data/8/entries/13/entries/1/name,1,1a. Northwest Entrance,1a. 西北入口
1a. Pool Bypass,1a. 泳池旁路,draft-heading-proposed,heading-only,OotA,70,data/3/entries/15/entries/7/entries/1/name,1,1a. Pool Bypass,1a. 泳池旁路
1b. Buppido's Lair,1b. 布皮多的巢穴,draft-heading-proposed,heading-only,OotA,70,data/3/entries/15/entries/7/entries/2/name,1,1b. Buppido's Lair,1b. 布皮多的巢穴
1b. North Entrance,1b. 北入口,draft-heading-proposed,heading-only,OotA,135,data/8/entries/13/entries/2/name,1,1b. North Entrance,1b. 北入口
1c. Northeast Entrance,1c. 東北入口,draft-heading-proposed,heading-only,OotA,135,data/8/entries/13/entries/3/name,1,1c. Northeast Entrance,1c. 東北入口
1d. South Entrance and Shore,1d. 南入口和岸邊,draft-heading-proposed,heading-only,OotA,135,data/8/entries/13/entries/4/name,1,1d. South Entrance and Shore,1d. 南入口和岸邊
1e. Zhentarim Secret Door,1e. 散塔林會秘密門,draft-heading-proposed,heading-only,OotA,136,data/8/entries/13/entries/5/name,1,1e. Zhentarim Secret Door,1e. 散塔林會秘密門
