book,context,english,zh_tw,status
OotA,/data/0/name,Chapter 1: Prisoners of the Drow,第1章：卓爾的囚徒,project-proposed
OotA,/data/0/entries/5/name,Escape!,逃生！,project-proposed
OotA,/data/0/entries/5/entries/1/name,Restraints,束縛,project-proposed
OotA,/data/0/entries/6/name,The Adventure Begins,冒險開始,project-proposed
OotA,/data/0/entries/7/name,In the Slave Pen,在奴隸圍欄,project-proposed
OotA,/data/0/entries/7/entries/2/name,Scavenged Possessions,搜尋到的財物,project-proposed
OotA,/data/0/entries/7/entries/2/entries/1/name,Scavenged Possessions,搜尋到的財物,project-proposed
OotA,/data/0/entries/7/entries/3/name,Fellow Prisoners,同獄囚犯,project-proposed
OotA,/data/0/entries/7/entries/3/entries/1/name,Prisoners of the Drow,卓爾的囚徒,project-proposed
OotA,/data/0/entries/7/entries/3/entries/2/name,Buppido,布皮多,existing-site
OotA,/data/0/entries/7/entries/3/entries/3/name,Prince Derendil,德倫迪爾王子,existing-site
OotA,/data/0/entries/7/entries/3/entries/4/name,Eldeth Feldrun,艾爾德絲·費爾德倫,existing-site
OotA,/data/0/entries/7/entries/3/entries/5/name,Jimjar,吉姆賈爾,existing-site
OotA,/data/0/entries/7/entries/3/entries/6/name,Ront,榮特,existing-site
OotA,/data/0/entries/7/entries/3/entries/7/name,Sarith Kzekarit,薩里斯·克澤卡里特,existing-site
OotA,/data/0/entries/7/entries/3/entries/8/name,Shuushar the Awakened,覺醒者舒沙爾,existing-site
OotA,/data/0/entries/7/entries/3/entries/9/name,Stool,圓凳,existing-site
OotA,/data/0/entries/7/entries/3/entries/10/name,Topsy and Turvy,託普西和特威,project-proposed
OotA,/data/0/entries/7/entries/3/entries/10/entries/2/name,A Motley Crew,一群雜牌軍,project-proposed
OotA,/data/0/entries/7/entries/4/name,What the Prisoners Know,囚犯們所知道的,project-proposed
OotA,/data/0/entries/7/entries/5/name,Hard Labor,艱苦勞動,project-proposed
OotA,/data/0/entries/7/entries/6/name,Bad Dreams,噩夢,project-proposed
OotA,/data/0/entries/7/entries/7/name,Fight!,戰鬥！,project-proposed
OotA,/data/0/entries/7/entries/8/name,Feeding Time,餵食時間,project-proposed
OotA,/data/0/entries/8/name,The Drow,卓爾,project-proposed
OotA,/data/0/entries/8/entries/1/entries/0/name,Prominent Drow,顯赫的卓爾,project-proposed
OotA,/data/0/entries/8/entries/1/entries/1/name,Ilvara Mizzrym,伊爾瓦拉·米茲瑞姆,existing-site
OotA,/data/0/entries/8/entries/1/entries/2/name,Asha Vandree,阿莎·範德里,existing-site
OotA,/data/0/entries/8/entries/1/entries/3/name,Shoor Vandree,修爾·範德里,project-proposed
OotA,/data/0/entries/8/entries/1/entries/4/name,Jorlan Duskryn,喬蘭·杜斯克林,project-proposed
OotA,/data/0/entries/8/entries/1/entries/5/name,Drow Warriors,卓爾戰士,project-proposed
OotA,/data/0/entries/8/entries/1/entries/5/entries/1/name,Roleplaying the Drow,扮演卓爾,project-proposed
OotA,/data/0/entries/9/name,Velkynvelve,維爾京維爾夫,project-proposed
OotA,/data/0/entries/9/entries/3/name,Velkynvelve: General Features,維爾京維爾夫：總體特徵,project-proposed
OotA,/data/0/entries/9/entries/3/entries/1/name,Light,光線,existing-site
OotA,/data/0/entries/9/entries/3/entries/2/name,Sound,聲音,existing-site
OotA,/data/0/entries/9/entries/3/entries/3/name,Stairs,樓梯,existing-site
OotA,/data/0/entries/9/entries/3/entries/4/name,Bridges,橋,project-proposed
OotA,/data/0/entries/9/entries/3/entries/5/name,Falling,墜落,existing-site
OotA,/data/0/entries/9/entries/3/entries/6/name,Webs,蛛網,project-proposed
OotA,/data/0/entries/9/entries/5/name,Areas of Velkynvelve,維爾京維爾夫區域,project-proposed
