book,context,page,type,classification_confidence,english,zh_tw
OotA,data/0/name,4,HEADING_LABEL,0.99,Chapter 1: Prisoners of the Drow,第1章：卓爾的囚徒
OotA,data/0/entries/0,4,MIXED,0.85,"Deep beneath the surface of the world lies the Underdark, a realm of endless labyrinthine tunnels and caverns where the sun never shines. The Underdark is filled with races and creatures too numerous to count or list, and foremost among these are the dark elves—the drow. Hated and feared even by their fellow dwellers in darkness, the drow raid other settlements in the Underdark as well as the surface world, taking prisoners back with them. Rendered {@condition unconscious} with {@item drow poison}, then collared and shackled, these prisoners are eventually sold as slaves or entertainment in the dark elves' subterranean cities.",在世界表面之下深處是幽暗地域，一個由無盡的迷宮般隧道和洞穴組成的領域，那裡太陽永不照耀。幽暗地域充滿了數不勝數的種族和生物，其中最突出的便是卓爾——卓爾。甚至被同為黑暗住民的同伴所憎恨和恐懼，卓爾襲擊幽暗地域的其他聚居地以及地表世界，將階下囚帶回。這些囚犯被{@item drow poison||卓爾毒藥}弄得{@condition unconscious||昏迷}，然後戴上項圈和鐐銬，最終在卓爾的地下城市中被賣作奴隸或娛樂品。
OotA,data/0/entries/1,4,NARRATIVE,0.8,"The adventurers have all had the misfortune of falling to such a fate. Captured by the drow, they are prisoners at one of the dark elves' outposts, awaiting transportation to Menzoberranzan, the City of Spiders. Whether they came into the Underdark seeking knowledge or fortune, or were just in the wrong place at the wrong time, they were ripe prey for a drow raid.",冒險者們都不幸遭遇了這樣的命運。他們被卓爾俘虜，成為了其中一個卓爾前哨站的囚犯，等待著被運送到蜘蛛之城——魔索布萊城。無論他們是出於尋求知識或財富的目的進入幽暗地域，還是僅僅在錯誤的時間出現在錯誤的地點，他們都是卓爾突襲的合適獵物。
OotA,data/0/entries/2,4,DM_INSTRUCTION,0.85,"The setup of {@i Out of the Abyss} is such that the characters need have no connections with events in the Underdark, or with each other, prior to the start of the adventure. They can meet and get to know each other as prisoners of the drow. Players who would like their characters to have a stronger Underdark connection can choose from the background options in {@adventure appendix A|OotA|17}.",《{@i 逃離深淵}的設定使得角色在冒險開始之前不需要與幽暗地域的事件或彼此有任何聯絡。他們可以作為卓爾囚犯相遇並相互瞭解。希望角色與幽暗地域有更強聯絡的玩家可以從{@adventure 附錄A|OotA|17}的背景選項中進行選擇。
OotA,data/0/entries/3,4,DM_INSTRUCTION,0.85,"""Prisoners of the Drow"" assumes the characters start at 1st level, and that they will achieve 2nd level (if not 3rd) by the end of this chapter of the adventure. Given the challenges of the adventure and the dangers of the Underdark, you can start the characters at a higher level (2nd or 3rd) to make things a bit easier for the players.","""卓爾的囚徒""假定角色從1級開始，並且他們將在本冒險章節結束時達到2級（如果不是3級）。鑑於冒險的挑戰和幽暗地域的危險性，你可以讓角色從更高階別（2級或3級）開始，以使事情對玩家來說更輕鬆一些。"
OotA,data/0/entries/5/name,4,HEADING_LABEL,0.99,Escape!,逃生！
OotA,data/0/entries/5/entries/0,4,DM_INSTRUCTION,0.85,"The characters' goal in this chapter of the adventure is straightforward: escape from the drow outpost of Velkynvelve, with an eye toward escaping from the Underdark. However, this goal is complicated by the adventurers' lack of familiarity with their surroundings. Even if the prisoners can get away from the drow, where will they go and how will they survive?",本章節中角色的目標很明確：從卓爾前哨站維爾京維爾夫逃脫，目標是逃離幽暗地域。然而，這個目標由於冒險者對周圍環境的不熟悉而變得複雜。即使囚犯能夠逃離卓爾，他們將去哪裡，又將如何生存？
OotA,data/0/entries/5/entries/1/name,4,HEADING_LABEL,0.99,Restraints,束縛
OotA,data/0/entries/5/entries/1/entries/0,4,MIXED,0.85,"All the drow's prisoners, including the characters, wear iron slave collars along with manacles connected to iron belts by a short length of chain. This leaves the prisoners {@condition restrained}, but doesn't affect their movement or speed.",所有卓爾的囚犯，包括角色們，在脖子上戴著鐵製的奴隸項圈，並且手腕上戴著與鐵製腰帶透過一小段鏈條相連的手銬。這使得囚犯們處於{@condition restrained||束縛}狀態，但不影響他們的移動或速度。
OotA,data/0/entries/5/entries/1/entries/1,4,DM_INSTRUCTION,0.85,"In addition to being manacled, spellcasters don't have any spell components or focuses, initially limiting their spellcasting ability. (Wizard characters don't need their spellbooks to cast spells, but will be unable to change their prepared spells without them. As such, give wizard characters some leeway in determining which spells they had previously prepared before being captured.) Moreover, spellcasting isn't possible inside the slave pen because of its magical wards (see area 11).",除了被銬住之外，施法者沒有任何法術成分或焦點，最初限制了他們的施法能力。（法師角色不需要他們的法術書就能施法，但沒有法術書就無法改變他們準備的法術。因此，給法師角色一些靈活性來確定他們在被捕之前準備的法術。）此外，由於其魔法結界（見區域11），在奴隸圍欄內施法是不可能的。
