english,zh_tw,status,scope,first_book,first_page,first_context,occurrences,representative_source,variants
A Contest of Wits,智慧的較量,draft-heading-proposed,heading-only,VEoR,160,data/8/entries/6/entries/2/entries/3/name,1,A Contest of Wits,智慧的較量
A Doorway to Space,通往太空的門戶,draft-heading-proposed,heading-only,VEoR,57,data/3/entries/4/name,1,A Doorway to Space,通往太空的門戶
A New Plan,新計劃,draft-heading-proposed,heading-only,VEoR,45,data/2/entries/8/entries/4/name,1,A New Plan,新計劃
A Noisy Fight,一場喧鬧的戰鬥,draft-heading-proposed,heading-only,VEoR,25,data/1/entries/6/entries/2/entries/15/entries/3/name,1,A Noisy Fight,一場喧鬧的戰鬥
A Significant Lie,一個重大的謊言,draft-heading-proposed,heading-only,VEoR,45,data/2/entries/8/entries/4/entries/9/name,1,A Significant Lie,一個重大的謊言
A Tougher Battle,一場更艱難的戰鬥,draft-heading-proposed,heading-only,VEoR,186,data/10/entries/6/entries/5/entries/8/entries/8/entries/1/name,1,A Tougher Battle,一場更艱難的戰鬥
A1: Entry Atrium,A1: 入口大廳,draft-heading-proposed,heading-only,VEoR,70,data/3/entries/7/entries/2/entries/2/name,1,A1: Entry Atrium,A1: 入口大廳
A2: Ventricle Chamber,A2: 心室室,draft-heading-proposed,heading-only,VEoR,70,data/3/entries/7/entries/2/entries/3/name,1,A2: Ventricle Chamber,A2: 心室室
A3: Flooded Atrium,A3: 淹沒的中庭,draft-heading-proposed,heading-only,VEoR,71,data/3/entries/7/entries/2/entries/4/name,1,A3: Flooded Atrium,A3: 淹沒的中庭
Abalahin,阿巴拉欣,project-proposed,canonical-name,VEoR,138,data/7/entries/5/entries/3/entries/10/entries/1,13,"The banyan tree is a neutral {@creature treant} named Abalahin. Abalahin is real, while the rest of the forest is a mirage. The mirage is tactile, so creatures can interact with it.",
About Docents,關於導師,draft-heading-proposed,heading-only,VEoR,74,data/4/entries/5/entries/3/name,1,About Docents,關於導師
Accessing the Rod Piece,獲取權杖部件,draft-heading-proposed,heading-only,VEoR,59,data/3/entries/6/entries/7/name,2,Accessing the Rod Piece,獲取權杖部件
Acererak,阿瑟瑞克,existing-site,heading-only,VEoR,11,data/0/entries/8/entries/8/entries/0,47,"{@adventure Chapter 7|VEoR|7} takes place on the Isle of Serpents on the world of Oerth. The characters learn that the sixth rod piece is in the crypt vault of the Tomb of Wayward Souls, a dungeon created by the lich Acererak. The characters must defeat a false lich that calls himself Rerak—a less-powerful version of the Acererak—before they can claim the rod piece.",阿瑟瑞克
Acererak's Machinations,阿瑟瑞克的陰謀,draft-heading-proposed,heading-only,VEoR,131,data/7/entries/3/entries/1/entries/1/items/0/name,1,Acererak's Machinations,阿瑟瑞克的陰謀
Acrobatics,體操,existing-site,heading-only,VEoR,99,data/5/entries/5/entries/5/entries/5/entries/2/entries/1,2,A Small character can squeeze into the elevator box with a successful {@dc 10} Dexterity ({@skill Acrobatics}) check. The dumbwaiter's rope-and-pulley mechanism can support 200 pounds of weight before breaking.,雜技
Adventure Summary,冒險摘要,draft-heading-proposed,heading-only,VEoR,9,data/0/entries/8/name,1,Adventure Summary,冒險摘要
After Neverdeath,不死之後,draft-heading-proposed,heading-only,VEoR,37,data/2/entries/3/name,1,After Neverdeath,不死之後
Aftermath of a Wish,願望的後果,draft-heading-proposed,heading-only,VEoR,44,data/2/entries/8/entries/3/entries/3/name,1,Aftermath of a Wish,願望的後果
Agents and Cultists,特工與邪教徒,draft-heading-proposed,heading-only,VEoR,47,data/2/entries/10/entries/4/entries/1/name,1,Agents and Cultists,特工與邪教徒
Agrodro,阿格羅卓,project-proposed,canonical-name,VEoR,157,data/8/entries/5/entries/10/entries/2/entries/2/entries/1/title,3,"Rezran ""Snake Eyes"" Agrodro, Khai Kiroth, and Nyssa Otellion",
Air,氣,existing-site,heading-only,VEoR,53,data/2/entries/10/entries/6/entries/14/entries/0/entries/0,26,Peering from this rocky room's center are four large lizards. The pungent smell of raw meat hangs in the air.,空氣
Akaazi,阿卡茲,project-proposed,canonical-name,VEoR,120,data/6/entries/8/entries/8/entries/5/entries/1,13,"The creatures are four {@creature Wraith||wraiths}. When Akaazi (see {@area area V34|350|x}) isn't present, these wraiths lead the small army of Undead soldiers stationed in the underground garrison ({@area area V8|311|x}). A wraith named Guerthel is Akaazi's favorite; he carries an iron key that unlocks the doors to {@area areas V7|30b|x} and {@area V10|314|x}.",
Alabaster Racetrack,雪花石膏賽車場,draft-heading-proposed,heading-only,VEoR,158,data/8/entries/5/entries/10/entries/5/entries/0,4,{@i Master of the Alabaster Racetrack},雪花石膏賽車場
Alamar-Vatashi,阿拉瑪－瓦塔希,project-proposed,matching-English-source-string-only,VEoR,85,data/4/entries/8/entries/5/entries/11/entries/3/entries/0,4,"The figure dozing in one of the beds is the spirit of Alamar-Vatashi, a soldier who overslept on the Day of Mourning. In life, Alamar-Vatashi was a kalashtar, a Humanoid bound to a dream-spirit called a quori. The Day of Mourning caused her to remain asleep in this chamber. She is a neutral good {@creature ghost} who can speak Common; she can also communicate telepathically within a range of 30 feet.",阿拉馬爾-瓦塔希
