category,english,source,zh_tw,status,existing_files
background,Haunted One,VRGR,噩夢纏身,existing-site,data/zh-TW/character-options/backgrounds.json;data/zh-TW/character-options/fluff-backgrounds.json
condition,Unconscious,PHB,昏迷,existing-site,data/zh-TW/rules/conditionsdiseases.json;data/zh-TW/rules/fluff-conditionsdiseases.json
condition,blinded,PHB,目盲,existing-site,data/zh-TW/rules/conditionsdiseases.json;data/zh-TW/rules/fluff-conditionsdiseases.json
condition,charmed,PHB,魅惑,existing-site,data/zh-TW/rules/conditionsdiseases.json;data/zh-TW/rules/fluff-conditionsdiseases.json
condition,deafened,PHB,耳聾,existing-site,data/zh-TW/rules/conditionsdiseases.json;data/zh-TW/rules/fluff-conditionsdiseases.json
condition,exhaustion,PHB,力竭,existing-site,data/zh-TW/rules/conditionsdiseases.json
condition,frightened,PHB,恐懼,existing-site,data/zh-TW/rules/conditionsdiseases.json;data/zh-TW/rules/fluff-conditionsdiseases.json
condition,incapacitated,PHB,無力,existing-site,data/zh-TW/rules/conditionsdiseases.json
condition,invisible,PHB,隱形,existing-site,data/zh-TW/rules/conditionsdiseases.json;data/zh-TW/rules/fluff-conditionsdiseases.json
condition,paralyzed,PHB,麻痺,existing-site,data/zh-TW/rules/conditionsdiseases.json;data/zh-TW/rules/fluff-conditionsdiseases.json
condition,petrified,PHB,石化,existing-site,data/zh-TW/rules/conditionsdiseases.json;data/zh-TW/rules/fluff-conditionsdiseases.json
condition,poisoned,PHB,中毒,existing-site,data/zh-TW/rules/conditionsdiseases.json;data/zh-TW/rules/fluff-conditionsdiseases.json
condition,prone,PHB,伏地,existing-site,data/zh-TW/rules/conditionsdiseases.json;data/zh-TW/rules/fluff-conditionsdiseases.json
condition,restrained,PHB,束縛,existing-site,data/zh-TW/rules/conditionsdiseases.json;data/zh-TW/rules/fluff-conditionsdiseases.json
condition,unconscious,PHB,昏迷,existing-site,data/zh-TW/rules/conditionsdiseases.json;data/zh-TW/rules/fluff-conditionsdiseases.json
creature,Amber Golem,CoS,琥珀魔像,existing-site,data/zh-TW/bestiary/bestiary-cos.json;data/zh-TW/bestiary/fluff-bestiary-cos.json
creature,Anastrasya Karelova,CoS,安娜斯塔西婭·卡列洛娃,existing-site,data/zh-TW/bestiary/bestiary-cos.json;data/zh-TW/bestiary/fluff-bestiary-cos.json
creature,Arabelle,CoS,阿拉貝拉,existing-site,data/zh-TW/bestiary/bestiary-cos.json
creature,Arrigal,CoS,阿利格爾,existing-site,data/zh-TW/bestiary/bestiary-cos.json;data/zh-TW/bestiary/fluff-bestiary-cos.json
creature,Baba Lysaga,CoS,芭芭·萊薩迦,existing-site,data/zh-TW/bestiary/bestiary-cos.json;data/zh-TW/bestiary/fluff-bestiary-cos.json
creature,Baba Lysaga's creeping hut,CoS,芭芭·萊薩迦的步行小屋,existing-site,data/zh-TW/bestiary/bestiary-cos.json;data/zh-TW/bestiary/fluff-bestiary-cos.json
creature,Baron Vargas Vallakovich,CoS,瓦格斯·瓦拉科維奇男爵,existing-site,data/zh-TW/bestiary/bestiary-cos.json;data/zh-TW/bestiary/fluff-bestiary-cos.json
creature,Barovian Commoner,CoS,巴洛維亞平民,existing-site,data/zh-TW/bestiary/bestiary-cos.json
creature,Barovian Scout,CoS,巴洛維亞偵察兵,existing-site,data/zh-TW/bestiary/bestiary-cos.json
creature,Barovian Witch,CoS,巴洛維亞巫師,existing-site,data/zh-TW/bestiary/bestiary-cos.json;data/zh-TW/bestiary/fluff-bestiary-cos.json
creature,Barovian witch,CoS,巴洛維亞巫師,existing-site,data/zh-TW/bestiary/bestiary-cos.json;data/zh-TW/bestiary/fluff-bestiary-cos.json
creature,Beucephalus,CoS,布西法拉斯,existing-site,data/zh-TW/bestiary/bestiary-cos.json;data/zh-TW/bestiary/fluff-bestiary-cos.json
creature,Bluto Krogarov,CoS,布魯托·科洛加洛夫,existing-site,data/zh-TW/bestiary/bestiary-cos.json
creature,Bray Martikov,CoS,佈雷·馬可夫,existing-site,data/zh-TW/bestiary/bestiary-cos.json;data/zh-TW/bestiary/fluff-bestiary-cos.json
creature,Brom Martikov,CoS,布羅姆·馬可夫,existing-site,data/zh-TW/bestiary/bestiary-cos.json;data/zh-TW/bestiary/fluff-bestiary-cos.json
creature,Clovin Belview,CoS,克洛文·貝爾維,existing-site,data/zh-TW/bestiary/bestiary-cos.json;data/zh-TW/bestiary/fluff-bestiary-cos.json
creature,Cyrus Belview,CoS,賽勒斯·貝爾維,existing-site,data/zh-TW/bestiary/bestiary-cos.json;data/zh-TW/bestiary/fluff-bestiary-cos.json
creature,Danika Dorakova,CoS,達妮卡·多拉科娃,existing-site,data/zh-TW/bestiary/bestiary-cos.json;data/zh-TW/bestiary/fluff-bestiary-cos.json
creature,Davian Martikov,CoS,達爾萬·馬可夫,existing-site,data/zh-TW/bestiary/bestiary-cos.json;data/zh-TW/bestiary/fluff-bestiary-cos.json
creature,Donavich,CoS,多納維奇,existing-site,data/zh-TW/bestiary/bestiary-cos.json;data/zh-TW/bestiary/fluff-bestiary-cos.json
