english,category,classes,subclasses,sources,editions,occurrences,first_file,first_json_pointer,representative_context,proposed_zh_tw,alternative_zh_tw,status,translation_source,confidence,notes,final_zh_tw,final_source
Artificer,class,Artificer,,EFA; TCE,classic; one,2,data/class/class-artificer.json,/class/0/name,class: Artificer,奇械師,,proposed,5eclone.pingstudio.tw (legacy exact ENG_name match),0.85,,奇械師,5eclone.pingstudio.tw (legacy exact ENG_name match)
Barbarian,class,Barbarian,,PHB; XPHB,classic; one,2,data/class/class-barbarian.json,/class/0/name,class: Barbarian,野蠻人,,proposed,5eclone.pingstudio.tw (legacy exact ENG_name match),0.85,,野蠻人,5eclone.pingstudio.tw (legacy exact ENG_name match)
Bard,class,Bard,,PHB; XPHB,classic; one,2,data/class/class-bard.json,/class/0/name,class: Bard,吟遊詩人,,proposed,5eclone.pingstudio.tw (legacy exact ENG_name match),0.85,,吟遊詩人,5eclone.pingstudio.tw (legacy exact ENG_name match)
Cleric,class,Cleric,,PHB; XPHB,classic; one,2,data/class/class-cleric.json,/class/0/name,class: Cleric,牧師,,proposed,5eclone.pingstudio.tw (legacy exact ENG_name match),0.85,,牧師,5eclone.pingstudio.tw (legacy exact ENG_name match)
Druid,class,Druid,,PHB; XPHB,classic; one,2,data/class/class-druid.json,/class/0/name,class: Druid,德魯伊,,proposed,5eclone.pingstudio.tw (legacy exact ENG_name match),0.85,,德魯伊,5eclone.pingstudio.tw (legacy exact ENG_name match)
Expert Sidekick,class,Expert Sidekick,,TCE,classic,1,data/class/class-sidekick.json,/class/0/name,class: Expert Sidekick,專家協力者,,proposed,5eclone.pingstudio.tw (legacy exact ENG_name match),0.85,,專家協力者,5eclone.pingstudio.tw (legacy exact ENG_name match)
Fighter,class,Fighter,,PHB; XPHB,classic; one,2,data/class/class-fighter.json,/class/0/name,class: Fighter,戰士,,proposed,5eclone.pingstudio.tw (legacy exact ENG_name match),0.85,,戰士,5eclone.pingstudio.tw (legacy exact ENG_name match)
Monk,class,Monk,,PHB; XPHB,classic; one,2,data/class/class-monk.json,/class/0/name,class: Monk,武僧,,proposed,5eclone.pingstudio.tw (legacy exact ENG_name match),0.85,,武僧,5eclone.pingstudio.tw (legacy exact ENG_name match)
Mystic,class,Mystic,,UATheMysticClass,classic,1,data/class/class-mystic.json,/class/0/name,class: Mystic,秘術師,靈能師,proposed,community candidate,0.95,UA psionic class; 5eclone lacks an ENG_name mapping,秘術師,community candidate
Paladin,class,Paladin,,PHB; XPHB,classic; one,2,data/class/class-paladin.json,/class/0/name,class: Paladin,聖武士,,proposed,5eclone.pingstudio.tw (legacy exact ENG_name match),0.85,,聖武士,5eclone.pingstudio.tw (legacy exact ENG_name match)
Ranger,class,Ranger,,PHB; XPHB,classic; one,2,data/class/class-ranger.json,/class/0/name,class: Ranger,遊俠,,proposed,5eclone.pingstudio.tw (legacy exact ENG_name match),0.85,,遊俠,5eclone.pingstudio.tw (legacy exact ENG_name match)
Rogue,class,Rogue,,PHB; XPHB,classic; one,2,data/class/class-rogue.json,/class/0/name,class: Rogue,遊蕩者,盜賊,conflict,5eclone.pingstudio.tw (preferred candidate); project glossary alternatives,0.65,5eclone candidate is listed first; alternatives require user approval.,遊蕩者,5eclone.pingstudio.tw (preferred candidate); project glossary alternatives
Sorcerer,class,Sorcerer,,PHB; XPHB,classic; one,2,data/class/class-sorcerer.json,/class/0/name,class: Sorcerer,術士,,proposed,5eclone.pingstudio.tw (legacy exact ENG_name match),0.85,,術士,5eclone.pingstudio.tw (legacy exact ENG_name match)
Spellcaster Sidekick,class,Spellcaster Sidekick,,TCE,classic,1,data/class/class-sidekick.json,/class/1/name,class: Spellcaster Sidekick,施法協力者,,proposed,5eclone.pingstudio.tw (legacy exact ENG_name match),0.85,,施法協力者,5eclone.pingstudio.tw (legacy exact ENG_name match)
Warlock,class,Warlock,,PHB; XPHB,classic; one,2,data/class/class-warlock.json,/class/0/name,class: Warlock,契術師,邪術師,conflict,5eclone.pingstudio.tw (preferred candidate); project glossary alternatives,0.65,5eclone candidate is listed first; alternatives require user approval.,契術師,5eclone.pingstudio.tw (preferred candidate); project glossary alternatives
