english,category,classes,subclasses,sources,editions,occurrences,first_file,first_json_pointer,representative_context,proposed_zh_tw,alternative_zh_tw,status,translation_source,confidence,notes
Artificer,class,Artificer,,EFA; TCE,classic; one,2,data/class/class-artificer.json,/class/0/name,class: Artificer,奇械師,,proposed,5eclone.pingstudio.tw (legacy exact ENG_name match),0.85,
Barbarian,class,Barbarian,,PHB; XPHB,classic; one,2,data/class/class-barbarian.json,/class/0/name,class: Barbarian,野蠻人,,proposed,5eclone.pingstudio.tw (legacy exact ENG_name match),0.85,
Bard,class,Bard,,PHB; XPHB,classic; one,2,data/class/class-bard.json,/class/0/name,class: Bard,吟遊詩人,,proposed,5eclone.pingstudio.tw (legacy exact ENG_name match),0.85,
Cleric,class,Cleric,,PHB; XPHB,classic; one,2,data/class/class-cleric.json,/class/0/name,class: Cleric,牧師,,proposed,5eclone.pingstudio.tw (legacy exact ENG_name match),0.85,
Druid,class,Druid,,PHB; XPHB,classic; one,2,data/class/class-druid.json,/class/0/name,class: Druid,德魯伊,,proposed,5eclone.pingstudio.tw (legacy exact ENG_name match),0.85,
Expert Sidekick,class,Expert Sidekick,,TCE,classic,1,data/class/class-sidekick.json,/class/0/name,class: Expert Sidekick,專家協力者,,proposed,5eclone.pingstudio.tw (legacy exact ENG_name match),0.85,
Fighter,class,Fighter,,PHB; XPHB,classic; one,2,data/class/class-fighter.json,/class/0/name,class: Fighter,戰士,,proposed,5eclone.pingstudio.tw (legacy exact ENG_name match),0.85,
Monk,class,Monk,,PHB; XPHB,classic; one,2,data/class/class-monk.json,/class/0/name,class: Monk,武僧,,proposed,5eclone.pingstudio.tw (legacy exact ENG_name match),0.85,
Mystic,class,Mystic,,UATheMysticClass,classic,1,data/class/class-mystic.json,/class/0/name,class: Mystic,秘術師,靈能師,proposed,community candidate,0.95,UA psionic class; 5eclone lacks an ENG_name mapping
Paladin,class,Paladin,,PHB; XPHB,classic; one,2,data/class/class-paladin.json,/class/0/name,class: Paladin,聖武士,,proposed,5eclone.pingstudio.tw (legacy exact ENG_name match),0.85,
Ranger,class,Ranger,,PHB; XPHB,classic; one,2,data/class/class-ranger.json,/class/0/name,class: Ranger,遊俠,,proposed,5eclone.pingstudio.tw (legacy exact ENG_name match),0.85,
