category,english,source,zh_tw,status,existing_files
background,City Watch,scag,城市守衛,existing-site,data/zh-TW/character-options/backgrounds.json;data/zh-TW/character-options/fluff-backgrounds.json
background,Waterdhavian noble,scag,深水人貴族,existing-site,data/zh-TW/character-options/backgrounds.json;data/zh-TW/character-options/fluff-backgrounds.json
background,cloistered scholar,scag,與世隔絕的學者,existing-site,data/zh-TW/character-options/backgrounds.json;data/zh-TW/character-options/fluff-backgrounds.json
background,courtier,scag,朝臣,existing-site,data/zh-TW/character-options/backgrounds.json;data/zh-TW/character-options/fluff-backgrounds.json
background,faction agent,scag,組織代理人,existing-site,data/zh-TW/character-options/backgrounds.json;data/zh-TW/character-options/fluff-backgrounds.json
background,far traveler,scag,遠行者,existing-site,data/zh-TW/character-options/backgrounds.json;data/zh-TW/character-options/fluff-backgrounds.json
background,inheritor,scag,繼承人,existing-site,data/zh-TW/character-options/backgrounds.json;data/zh-TW/character-options/fluff-backgrounds.json;data/zh-TW/reference-pages/charcreationoptions.json
background,mercenary veteran,scag,老傭兵,existing-site,data/zh-TW/character-options/backgrounds.json;data/zh-TW/character-options/fluff-backgrounds.json
background,urban bounty hunter,scag,城市獵人,existing-site,data/zh-TW/character-options/backgrounds.json;data/zh-TW/character-options/fluff-backgrounds.json
condition,Invisible,,隱形,existing-site,data/zh-TW/rules/conditionsdiseases.json;data/zh-TW/rules/fluff-conditionsdiseases.json
condition,Invisible,PHB,隱形,existing-site,data/zh-TW/rules/conditionsdiseases.json;data/zh-TW/rules/fluff-conditionsdiseases.json
condition,blinded,,目盲,existing-site,data/zh-TW/rules/conditionsdiseases.json;data/zh-TW/rules/fluff-conditionsdiseases.json
condition,blinded,PHB,目盲,existing-site,data/zh-TW/rules/conditionsdiseases.json;data/zh-TW/rules/fluff-conditionsdiseases.json
condition,charmed,,魅惑,existing-site,data/zh-TW/rules/conditionsdiseases.json;data/zh-TW/rules/fluff-conditionsdiseases.json
condition,charmed,PHB,魅惑,existing-site,data/zh-TW/rules/conditionsdiseases.json;data/zh-TW/rules/fluff-conditionsdiseases.json
condition,exhaustion,,力竭,existing-site,data/zh-TW/rules/conditionsdiseases.json
condition,exhaustion,PHB,力竭,existing-site,data/zh-TW/rules/conditionsdiseases.json
condition,frightened,,恐懼,existing-site,data/zh-TW/rules/conditionsdiseases.json;data/zh-TW/rules/fluff-conditionsdiseases.json
condition,frightened,PHB,恐懼,existing-site,data/zh-TW/rules/conditionsdiseases.json;data/zh-TW/rules/fluff-conditionsdiseases.json
condition,incapacitated,,無力,existing-site,data/zh-TW/rules/conditionsdiseases.json
condition,incapacitated,PHB,無力,existing-site,data/zh-TW/rules/conditionsdiseases.json
condition,invisible,,隱形,existing-site,data/zh-TW/rules/conditionsdiseases.json;data/zh-TW/rules/fluff-conditionsdiseases.json
condition,invisible,PHB,隱形,existing-site,data/zh-TW/rules/conditionsdiseases.json;data/zh-TW/rules/fluff-conditionsdiseases.json
condition,paralyzed,,麻痺,existing-site,data/zh-TW/rules/conditionsdiseases.json;data/zh-TW/rules/fluff-conditionsdiseases.json
condition,paralyzed,PHB,麻痺,existing-site,data/zh-TW/rules/conditionsdiseases.json;data/zh-TW/rules/fluff-conditionsdiseases.json
condition,petrified,,石化,existing-site,data/zh-TW/rules/conditionsdiseases.json;data/zh-TW/rules/fluff-conditionsdiseases.json
condition,petrified,PHB,石化,existing-site,data/zh-TW/rules/conditionsdiseases.json;data/zh-TW/rules/fluff-conditionsdiseases.json
condition,poisoned,,中毒,existing-site,data/zh-TW/rules/conditionsdiseases.json;data/zh-TW/rules/fluff-conditionsdiseases.json
condition,poisoned,PHB,中毒,existing-site,data/zh-TW/rules/conditionsdiseases.json;data/zh-TW/rules/fluff-conditionsdiseases.json
condition,prone,,伏地,existing-site,data/zh-TW/rules/conditionsdiseases.json;data/zh-TW/rules/fluff-conditionsdiseases.json
condition,prone,PHB,伏地,existing-site,data/zh-TW/rules/conditionsdiseases.json;data/zh-TW/rules/fluff-conditionsdiseases.json
condition,restrained,,束縛,existing-site,data/zh-TW/rules/conditionsdiseases.json;data/zh-TW/rules/fluff-conditionsdiseases.json
condition,restrained,PHB,束縛,existing-site,data/zh-TW/rules/conditionsdiseases.json;data/zh-TW/rules/fluff-conditionsdiseases.json
condition,stunned,,震懾,existing-site,data/zh-TW/rules/conditionsdiseases.json;data/zh-TW/rules/fluff-conditionsdiseases.json
condition,stunned,PHB,震懾,existing-site,data/zh-TW/rules/conditionsdiseases.json;data/zh-TW/rules/fluff-conditionsdiseases.json
condition,unconscious,,昏迷,existing-site,data/zh-TW/rules/conditionsdiseases.json;data/zh-TW/rules/fluff-conditionsdiseases.json
condition,unconscious,PHB,昏迷,existing-site,data/zh-TW/rules/conditionsdiseases.json;data/zh-TW/rules/fluff-conditionsdiseases.json
creature,Ahmaergo,WDH,阿莫戈,existing-site,data/zh-TW/bestiary/bestiary-wdh.json;data/zh-TW/bestiary/fluff-bestiary-wdh.json
creature,Ammalia Cassalanter,WDH,阿瑪利亞·卡薩蘭特,existing-site,data/zh-TW/bestiary/bestiary-wdh.json;data/zh-TW/bestiary/fluff-bestiary-wdh.json
creature,Aurinax,WDH,奧瑞納克斯,existing-site,data/zh-TW/bestiary/bestiary-wdh.json;data/zh-TW/bestiary/fluff-bestiary-wdh.json
creature,Avi,WDH,阿維,existing-site,data/zh-TW/bestiary/bestiary-wdh.json;data/zh-TW/bestiary/fluff-bestiary-wdh.json
creature,Avi,wdh,阿維,existing-site,data/zh-TW/bestiary/bestiary-wdh.json;data/zh-TW/bestiary/fluff-bestiary-wdh.json
creature,Barnibus Blastwind,WDH,巴尼布斯·陣風,existing-site,data/zh-TW/bestiary/bestiary-wdh.json;data/zh-TW/bestiary/fluff-bestiary-wdh.json
creature,Bepis Honeymaker,wdh,貝皮斯·蜜釀師,existing-site,data/zh-TW/bestiary/bestiary-wdh.json;data/zh-TW/bestiary/fluff-bestiary-wdh.json
creature,Black Viper,WDH,黑毒蛇,existing-site,data/zh-TW/bestiary/bestiary-wdh.json;data/zh-TW/bestiary/fluff-bestiary-wdh.json
