category,english,source,zh_tw,status,existing_files
action,Dash,,疾走,existing-site,data/zh-TW/bestiary/bestiary-veor.json;data/zh-TW/rules/actions.json
action,Disengage,,撤離,existing-site,data/zh-TW/bestiary/bestiary-hol.json;data/zh-TW/rules/actions.json
action,Help,,協助,existing-site,data/zh-TW/rules/actions.json
condition,blinded,,目盲,existing-site,data/zh-TW/rules/conditionsdiseases.json;data/zh-TW/rules/fluff-conditionsdiseases.json
condition,blinded,PHB,目盲,existing-site,data/zh-TW/rules/conditionsdiseases.json;data/zh-TW/rules/fluff-conditionsdiseases.json
condition,exhaustion,,力竭,existing-site,data/zh-TW/rules/conditionsdiseases.json
condition,exhaustion,PHB,力竭,existing-site,data/zh-TW/rules/conditionsdiseases.json
condition,frightened,,恐懼,existing-site,data/zh-TW/rules/conditionsdiseases.json;data/zh-TW/rules/fluff-conditionsdiseases.json
condition,frightened,PHB,恐懼,existing-site,data/zh-TW/rules/conditionsdiseases.json;data/zh-TW/rules/fluff-conditionsdiseases.json
condition,incapacitated,,無力,existing-site,data/zh-TW/rules/conditionsdiseases.json
condition,incapacitated,PHB,無力,existing-site,data/zh-TW/rules/conditionsdiseases.json
condition,invisible,,隱形,existing-site,data/zh-TW/rules/conditionsdiseases.json;data/zh-TW/rules/fluff-conditionsdiseases.json
condition,invisible,PHB,隱形,existing-site,data/zh-TW/rules/conditionsdiseases.json;data/zh-TW/rules/fluff-conditionsdiseases.json
condition,paralyzed,,麻痺,existing-site,data/zh-TW/rules/conditionsdiseases.json;data/zh-TW/rules/fluff-conditionsdiseases.json
condition,paralyzed,PHB,麻痺,existing-site,data/zh-TW/rules/conditionsdiseases.json;data/zh-TW/rules/fluff-conditionsdiseases.json
condition,poisoned,,中毒,existing-site,data/zh-TW/rules/conditionsdiseases.json;data/zh-TW/rules/fluff-conditionsdiseases.json
condition,poisoned,PHB,中毒,existing-site,data/zh-TW/rules/conditionsdiseases.json;data/zh-TW/rules/fluff-conditionsdiseases.json
condition,prone,,伏地,existing-site,data/zh-TW/rules/conditionsdiseases.json;data/zh-TW/rules/fluff-conditionsdiseases.json
condition,prone,PHB,伏地,existing-site,data/zh-TW/rules/conditionsdiseases.json;data/zh-TW/rules/fluff-conditionsdiseases.json
condition,restrained,,束縛,existing-site,data/zh-TW/rules/conditionsdiseases.json;data/zh-TW/rules/fluff-conditionsdiseases.json
condition,restrained,PHB,束縛,existing-site,data/zh-TW/rules/conditionsdiseases.json;data/zh-TW/rules/fluff-conditionsdiseases.json
condition,stunned,,震懾,existing-site,data/zh-TW/rules/conditionsdiseases.json;data/zh-TW/rules/fluff-conditionsdiseases.json
condition,stunned,PHB,震懾,existing-site,data/zh-TW/rules/conditionsdiseases.json;data/zh-TW/rules/fluff-conditionsdiseases.json
condition,unconscious,,昏迷,existing-site,data/zh-TW/rules/conditionsdiseases.json;data/zh-TW/rules/fluff-conditionsdiseases.json
condition,unconscious,PHB,昏迷,existing-site,data/zh-TW/rules/conditionsdiseases.json;data/zh-TW/rules/fluff-conditionsdiseases.json
creature,Adult Lunar Dragon,BAM,成年月亮龍,existing-site,data/zh-TW/bestiary/bestiary-bam.json;data/zh-TW/bestiary/fluff-bestiary-bam.json
creature,Adult lunar dragon,BAM,成年月亮龍,existing-site,data/zh-TW/bestiary/bestiary-bam.json;data/zh-TW/bestiary/fluff-bestiary-bam.json
creature,Alustriel Silverhand,VEoR,艾拉斯卓·銀手,existing-site,data/zh-TW/bestiary/bestiary-veor.json;data/zh-TW/bestiary/fluff-bestiary-veor.json
creature,Assassin,,刺客,existing-site,data/zh-TW/bestiary/bestiary-mm.json;data/zh-TW/bestiary/bestiary-xmm.json;data/zh-TW/bestiary/fluff-bestiary-mm.json;data/zh-TW/bestiary/fluff-bestiary-xmm.json;data/zh-TW/class/class-rogue.json;data/zh-TW/class/fluff-class-rogue.json
creature,Astral Dreadnought,MPMM,星界鉅艦獸,existing-site,data/zh-TW/bestiary/bestiary-mpmm.json;data/zh-TW/bestiary/bestiary-mtf.json;data/zh-TW/bestiary/fluff-bestiary-mpmm.json;data/zh-TW/bestiary/fluff-bestiary-mtf.json
creature,Astral dreadnought,MPMM,星界鉅艦獸,existing-site,data/zh-TW/bestiary/bestiary-mpmm.json;data/zh-TW/bestiary/bestiary-mtf.json;data/zh-TW/bestiary/fluff-bestiary-mpmm.json;data/zh-TW/bestiary/fluff-bestiary-mtf.json
creature,Barlgura,,惡猿魔,existing-site,data/zh-TW/bestiary/bestiary-mm.json;data/zh-TW/bestiary/bestiary-xmm.json;data/zh-TW/bestiary/fluff-bestiary-mm.json;data/zh-TW/bestiary/fluff-bestiary-xmm.json
creature,Black Rose Bearer,VEoR,黑玫瑰使者,existing-site,data/zh-TW/bestiary/bestiary-veor.json;data/zh-TW/bestiary/fluff-bestiary-veor.json
creature,Black rose bearer,VEoR,黑玫瑰使者,existing-site,data/zh-TW/bestiary/bestiary-veor.json;data/zh-TW/bestiary/fluff-bestiary-veor.json
creature,Blade Lieutenant,VEoR,刀刃副官,existing-site,data/zh-TW/bestiary/bestiary-veor.json;data/zh-TW/bestiary/fluff-bestiary-veor.json
creature,Blade Scout,VEoR,刀鋒偵察兵,existing-site,data/zh-TW/bestiary/bestiary-veor.json;data/zh-TW/bestiary/fluff-bestiary-veor.json
creature,Blade lieutenant,VEoR,刀刃副官,existing-site,data/zh-TW/bestiary/bestiary-veor.json;data/zh-TW/bestiary/fluff-bestiary-veor.json
creature,Blade scout,VEoR,刀鋒偵察兵,existing-site,data/zh-TW/bestiary/bestiary-veor.json;data/zh-TW/bestiary/fluff-bestiary-veor.json
creature,Blazebear,VEoR,焰熊,existing-site,data/zh-TW/bestiary/bestiary-veor.json;data/zh-TW/bestiary/fluff-bestiary-veor.json
creature,Blue Abishai,MPMM,亞比莎藍龍魔,existing-site,data/zh-TW/bestiary/bestiary-mpmm.json;data/zh-TW/bestiary/bestiary-mtf.json;data/zh-TW/bestiary/fluff-bestiary-mpmm.json;data/zh-TW/bestiary/fluff-bestiary-mtf.json
creature,Blue abishai,MPMM,亞比莎藍龍魔,existing-site,data/zh-TW/bestiary/bestiary-mpmm.json;data/zh-TW/bestiary/bestiary-mtf.json;data/zh-TW/bestiary/fluff-bestiary-mpmm.json;data/zh-TW/bestiary/fluff-bestiary-mtf.json
creature,Bone Roc,VEoR,骨骸巨鳥,existing-site,data/zh-TW/bestiary/bestiary-veor.json;data/zh-TW/bestiary/fluff-bestiary-veor.json
creature,Bone roc,VEoR,骨骸巨鳥,existing-site,data/zh-TW/bestiary/bestiary-veor.json;data/zh-TW/bestiary/fluff-bestiary-veor.json
creature,Borthak,VEoR,博薩克,existing-site,data/zh-TW/bestiary/bestiary-veor.json;data/zh-TW/bestiary/fluff-bestiary-veor.json
creature,Cadaver Collector,MPMM,掮屍者,existing-site,data/zh-TW/bestiary/bestiary-mpmm.json;data/zh-TW/bestiary/bestiary-mtf.json;data/zh-TW/bestiary/fluff-bestiary-mpmm.json;data/zh-TW/bestiary/fluff-bestiary-mtf.json
creature,Cadaver collector,MPMM,掮屍者,existing-site,data/zh-TW/bestiary/bestiary-mpmm.json;data/zh-TW/bestiary/bestiary-mtf.json;data/zh-TW/bestiary/fluff-bestiary-mpmm.json;data/zh-TW/bestiary/fluff-bestiary-mtf.json
creature,Camlash,VEoR,卡姆拉什,existing-site,data/zh-TW/bestiary/bestiary-veor.json;data/zh-TW/bestiary/fluff-bestiary-veor.json
creature,Citadel Spider,VEoR,城堡蜘蛛,existing-site,data/zh-TW/bestiary/bestiary-veor.json;data/zh-TW/bestiary/fluff-bestiary-veor.json
creature,Citadel spider,VEoR,城堡蜘蛛,existing-site,data/zh-TW/bestiary/bestiary-veor.json;data/zh-TW/bestiary/fluff-bestiary-veor.json
creature,Commoner,,平民,existing-site,data/zh-TW/bestiary/bestiary-mm.json;data/zh-TW/bestiary/bestiary-wtthc.json;data/zh-TW/bestiary/bestiary-xmm.json;data/zh-TW/bestiary/fluff-bestiary-mm.json;data/zh-TW/bestiary/fluff-bestiary-wtthc.json;data/zh-TW/bestiary/fluff-bestiary-xmm.json
creature,Cosmic Horror,BAM,宇宙恐怪,existing-site,data/zh-TW/bestiary/bestiary-bam.json;data/zh-TW/bestiary/fluff-bestiary-bam.json
creature,Cosmic horror,BAM,宇宙恐怪,existing-site,data/zh-TW/bestiary/bestiary-bam.json;data/zh-TW/bestiary/fluff-bestiary-bam.json
creature,Cult Fanatic,,邪教狂信者,existing-site,data/zh-TW/bestiary/bestiary-mm.json;data/zh-TW/bestiary/fluff-bestiary-mm.json
creature,Cultist,,邪教徒,existing-site,data/zh-TW/bestiary/bestiary-mm.json;data/zh-TW/bestiary/bestiary-xmm.json;data/zh-TW/bestiary/fluff-bestiary-mm.json;data/zh-TW/bestiary/fluff-bestiary-xmm.json
