category,english,source,zh_tw,status,existing_files
charoption,Cult of the Dragon Infiltrator,HotDQ,龍巫教秘教徒,existing-site,data/zh-TW/reference-pages/charcreationoptions.json
charoption,Dragon Scholar,HotDQ,龍學者,existing-site,data/zh-TW/reference-pages/charcreationoptions.json
condition,charmed,PHB,魅惑,existing-site,data/zh-TW/rules/conditionsdiseases.json;data/zh-TW/rules/fluff-conditionsdiseases.json
condition,deafened,PHB,耳聾,existing-site,data/zh-TW/rules/conditionsdiseases.json;data/zh-TW/rules/fluff-conditionsdiseases.json
condition,exhaustion,PHB,力竭,existing-site,data/zh-TW/rules/conditionsdiseases.json
condition,frightened,PHB,恐懼,existing-site,data/zh-TW/rules/conditionsdiseases.json;data/zh-TW/rules/fluff-conditionsdiseases.json
condition,grappled,PHB,被擒,existing-site,data/zh-TW/rules/conditionsdiseases.json;data/zh-TW/rules/fluff-conditionsdiseases.json
condition,incapacitated,PHB,無力,existing-site,data/zh-TW/rules/conditionsdiseases.json
condition,invisible,PHB,隱形,existing-site,data/zh-TW/rules/conditionsdiseases.json;data/zh-TW/rules/fluff-conditionsdiseases.json
condition,paralyzed,PHB,麻痺,existing-site,data/zh-TW/rules/conditionsdiseases.json;data/zh-TW/rules/fluff-conditionsdiseases.json
condition,petrified,PHB,石化,existing-site,data/zh-TW/rules/conditionsdiseases.json;data/zh-TW/rules/fluff-conditionsdiseases.json
condition,poisoned,PHB,中毒,existing-site,data/zh-TW/rules/conditionsdiseases.json;data/zh-TW/rules/fluff-conditionsdiseases.json
condition,prone,PHB,伏地,existing-site,data/zh-TW/rules/conditionsdiseases.json;data/zh-TW/rules/fluff-conditionsdiseases.json
condition,restrained,PHB,束縛,existing-site,data/zh-TW/rules/conditionsdiseases.json;data/zh-TW/rules/fluff-conditionsdiseases.json
condition,stunned,PHB,震懾,existing-site,data/zh-TW/rules/conditionsdiseases.json;data/zh-TW/rules/fluff-conditionsdiseases.json
condition,unconscious,PHB,昏迷,existing-site,data/zh-TW/rules/conditionsdiseases.json;data/zh-TW/rules/fluff-conditionsdiseases.json
