english,category,classes,subclasses,sources,editions,occurrences,first_file,first_json_pointer,representative_context,proposed_zh_tw,alternative_zh_tw,status,translation_source,confidence,notes
Rogue,class,Rogue,,PHB; XPHB,classic; one,2,data/class/class-rogue.json,/class/0/name,class: Rogue,遊蕩者,盜賊,conflict,5eclone.pingstudio.tw (preferred candidate); project glossary alternatives,0.65,5eclone candidate is listed first; alternatives require user approval.
Warlock,class,Warlock,,PHB; XPHB,classic; one,2,data/class/class-warlock.json,/class/0/name,class: Warlock,契術師,邪術師,conflict,5eclone.pingstudio.tw (preferred candidate); project glossary alternatives,0.65,5eclone candidate is listed first; alternatives require user approval.
Abjure Foes,class-feature,Paladin,,XPHB,one,1,data/class/class-paladin.json,/classFeature/38/name,class-feature: Abjure Foes,,,pending,,0.50,
Acrobatic Movement,class-feature,Monk,,XPHB,one,1,data/class/class-monk.json,/classFeature/55/name,class-feature: Acrobatic Movement,,,pending,,0.50,
Advanced Artifice,class-feature,Artificer,,EFA,classic-or-other,1,data/class/class-artificer.json,/classFeature/13/name,class-feature: Advanced Artifice,,,pending,,0.50,
Arcane Apotheosis,class-feature,Sorcerer,,XPHB,one,1,data/class/class-sorcerer.json,/classFeature/38/name,class-feature: Arcane Apotheosis,,,pending,,0.50,
Artificer Subclass,class-feature,Artificer,,EFA,classic-or-other,1,data/class/class-artificer.json,/classFeature/3/name,class-feature: Artificer Subclass,,,pending,,0.50,
Aura Expansion,class-feature,Paladin,,XPHB,one,1,data/class/class-paladin.json,/classFeature/45/name,class-feature: Aura Expansion,,,pending,,0.50,
Barbarian Subclass,class-feature,Barbarian,,XPHB,one,1,data/class/class-barbarian.json,/classFeature/30/name,class-feature: Barbarian Subclass,,,pending,,0.50,
Bard Subclass,class-feature,Bard,,XPHB,one,1,data/class/class-bard.json,/classFeature/32/name,class-feature: Bard Subclass,,,pending,,0.50,
Bardic Inspiration,class-feature,Bard,,PHB; XPHB,classic-or-other; one,2,data/class/class-bard.json,/classFeature/0/name,class-feature: Bardic Inspiration,吟遊激勵,吟遊激勵(d8),conflict,5eclone.pingstudio.tw (preferred candidate); project glossary alternatives,0.65,5eclone candidate is listed first; alternatives require user approval.
Bardic Inspiration (d8),class-feature,Bard,,PHB,classic-or-other,1,data/class/class-bard.json,/classFeature/9/name,class-feature: Bardic Inspiration (d8),,,pending,,0.50,
Body and Mind,class-feature,Monk,,XPHB,one,1,data/class/class-monk.json,/classFeature/67/name,class-feature: Body and Mind,,,pending,,0.50,
Bonus Proficiencies,class-feature,Expert Sidekick; Spellcaster Sidekick; Warrior Sidekick,,TCE,classic-or-other,3,data/class/class-sidekick.json,/classFeature/0/name,class-feature: Bonus Proficiencies,額外熟練,額外熟練項,conflict,5eclone.pingstudio.tw (preferred candidate); project glossary alternatives,0.65,5eclone candidate is listed first; alternatives require user approval.
Bonus Unarmed Strike,class-feature,Monk,,XPHB,one,1,data/class/class-monk.json,/classFeature/34/name,class-feature: Bonus Unarmed Strike,,,pending,,0.50,
Brutal Strike,class-feature,Barbarian,,XPHB,one,1,data/class/class-barbarian.json,/classFeature/39/name,class-feature: Brutal Strike,,,pending,,0.50,
Channel Divinity: Turn Undead,class-feature,Cleric,,PHB,classic-or-other,1,data/class/class-cleric.json,/classFeature/4/name,class-feature: Channel Divinity: Turn Undead,,,pending,,0.50,
Cleric Subclass,class-feature,Cleric,,XPHB,one,1,data/class/class-cleric.json,/classFeature/31/name,class-feature: Cleric Subclass,,,pending,,0.50,
Consumptive Power,class-feature,Mystic,,UATheMysticClass,classic-or-other,1,data/class/class-mystic.json,/classFeature/12/name,class-feature: Consumptive Power,,,pending,,0.50,
Contact Patron,class-feature,Warlock,,XPHB,one,1,data/class/class-warlock.json,/classFeature/26/name,class-feature: Contact Patron,,,pending,,0.50,
Cunning Strike,class-feature,Rogue,,XPHB,one,1,data/class/class-rogue.json,/classFeature/31/name,class-feature: Cunning Strike,,,pending,,0.50,
Daze (Cost: 2d6),class-feature,Rogue,,XPHB,one,1,data/class/class-rogue.json,/classFeature/45/name,class-feature: Daze (Cost: 2d6),,,pending,,0.50,
Deflect Attacks,class-feature,Monk,,XPHB,one,1,data/class/class-monk.json,/classFeature/45/name,class-feature: Deflect Attacks,,,pending,,0.50,
Deflect Energy,class-feature,Monk,,XPHB,one,1,data/class/class-monk.json,/classFeature/60/name,class-feature: Deflect Energy,,,pending,,0.50,
Destroy Undead (CR 1),class-feature,Cleric,,PHB,classic-or-other,1,data/class/class-cleric.json,/classFeature/12/name,class-feature: Destroy Undead (CR 1),,,pending,,0.50,
Destroy Undead (CR 1/2),class-feature,Cleric,,PHB,classic-or-other,1,data/class/class-cleric.json,/classFeature/8/name,class-feature: Destroy Undead (CR 1/2),,,pending,,0.50,
Devious Strikes,class-feature,Rogue,,XPHB,one,1,data/class/class-rogue.json,/classFeature/46/name,class-feature: Devious Strikes,,,pending,,0.50,
Dexterous Attacks,class-feature,Monk,,XPHB,one,1,data/class/class-monk.json,/classFeature/35/name,class-feature: Dexterous Attacks,,,pending,,0.50,
Disciplined Survivor,class-feature,Monk,,XPHB,one,1,data/class/class-monk.json,/classFeature/61/name,class-feature: Disciplined Survivor,,,pending,,0.50,
