book,context,english,zh_tw,status
VNotEE,/data/0/name,Vecna: Nest of the Eldritch Eye,維克那：妖眼魔窟,project-proposed
VNotEE,/data/0/entries/3/name,Running the Adventure,運作冒險,project-proposed
VNotEE,/data/0/entries/4/name,Beginning the Adventure,開始冒險,project-proposed
VNotEE,/data/0/entries/5/name,Dead Man's Message,死者的訊息,project-proposed
VNotEE,/data/0/entries/5/entries/4/entries/0/entries/0/name,Investigators for Hire,僱來的調查員,project-proposed
VNotEE,/data/0/entries/5/entries/4/entries/0/entries/1/name,Rendezvous Gone Wrong,接頭失敗,project-proposed
VNotEE,/data/0/entries/5/entries/4/entries/0/entries/2/name,What She Knows,她知道什麼,project-proposed
VNotEE,/data/0/entries/5/entries/5/name,Investigating the Eyeball,調查眼球,project-proposed
VNotEE,/data/0/entries/6/name,Into Neverwinter's Catacombs,進入無冬城地下墓穴,project-proposed
VNotEE,/data/0/entries/6/entries/4/name,Area Features,區域特徵,project-proposed
VNotEE,/data/0/entries/6/entries/4/entries/1/items/0/name,Ceilings,天花板,existing-site
VNotEE,/data/0/entries/6/entries/4/entries/1/items/1/name,Eyeball Compass,眼球指南針,project-proposed
VNotEE,/data/0/entries/6/entries/4/entries/1/items/2/name,Light,光線,existing-site
VNotEE,/data/0/entries/6/entries/4/entries/1/items/3/name,Walls and Floors,牆壁和地板,project-proposed
VNotEE,/data/0/entries/6/entries/5/name,Area Locations,區域地點,project-proposed
VNotEE,/data/0/entries/6/entries/5/entries/2/name,N1: Entrance Tunnel,N1: 入口隧道,project-proposed
VNotEE,/data/0/entries/6/entries/5/entries/3/name,N2: Half-Collapsed Chamber,N2: 半毀的房間,project-proposed
VNotEE,/data/0/entries/6/entries/5/entries/3/entries/2/name,Making a Skiff,製作木筏,project-proposed
VNotEE,/data/0/entries/6/entries/5/entries/4/name,N3: Flooded Tunnel,N3: 被淹沒的隧道,project-proposed
VNotEE,/data/0/entries/6/entries/5/entries/4/entries/1/name,Water Weird,水詭,existing-site
VNotEE,/data/0/entries/6/entries/5/entries/5/name,N4: Cinerary Rotunda,N4: 圓頂骨灰堂,project-proposed
VNotEE,/data/0/entries/6/entries/5/entries/5/entries/2/name,Discovering the Ghost's Identity,揭露幽魂的身份,project-proposed
VNotEE,/data/0/entries/6/entries/5/entries/5/entries/3/name,What the Ghost Knows,幽魂知道什麼,project-proposed
VNotEE,/data/0/entries/6/entries/5/entries/5/entries/3/entries/1/items/0/name,Catacomb Invaders,地下墓穴入侵者,project-proposed
VNotEE,/data/0/entries/6/entries/5/entries/5/entries/3/entries/1/items/1/name,Delvin,戴爾文,project-proposed
VNotEE,/data/0/entries/6/entries/5/entries/5/entries/3/entries/1/items/2/name,Zombie Infestation,殭屍侵擾,project-proposed
VNotEE,/data/0/entries/6/entries/5/entries/6/name,N5: Tomb of the Mage,N5: 魔法師之墓,project-proposed
VNotEE,/data/0/entries/6/entries/5/entries/6/entries/2/name,Discovering the Ghost's Identity,揭露幽魂的身份,project-proposed
VNotEE,/data/0/entries/6/entries/5/entries/6/entries/2/entries/1/items/0/name,Golden Locket,黃金吊墜,project-proposed
VNotEE,/data/0/entries/6/entries/5/entries/6/entries/2/entries/1/items/1/name,Relief Details,浮雕細節,project-proposed
VNotEE,/data/0/entries/6/entries/5/entries/6/entries/3/name,Treasure,寶藏,existing-site
VNotEE,/data/0/entries/6/entries/5/entries/7/name,N6: Tomb of the Knight,N6: 騎士之墓,project-proposed
VNotEE,/data/0/entries/6/entries/5/entries/7/entries/2/name,Discovering the Ghost's Identity,揭露幽魂的身份,project-proposed
VNotEE,/data/0/entries/6/entries/5/entries/7/entries/2/entries/1/items/0/name,Family Crest,家族紋章,project-proposed
VNotEE,/data/0/entries/6/entries/5/entries/7/entries/2/entries/1/items/1/name,Relief Details,浮雕細節,project-proposed
VNotEE,/data/0/entries/6/entries/5/entries/7/entries/3/name,Treasure,寶藏,existing-site
VNotEE,/data/0/entries/6/entries/5/entries/7/entries/4/name,Secret Passage,秘密通道,project-proposed
VNotEE,/data/0/entries/6/entries/5/entries/8/name,N7: Crawlspace,N7: 爬行空間,project-proposed
VNotEE,/data/0/entries/6/entries/5/entries/8/entries/1/name,Disturbed Rubble,碎石坍塌,project-proposed
VNotEE,/data/0/entries/6/entries/5/entries/9/name,N8: Forked Tunnel,N8: 岔道,project-proposed
VNotEE,/data/0/entries/6/entries/5/entries/10/name,N9: Sewerage Chamber,N9: 下水道房間,project-proposed
VNotEE,/data/0/entries/6/entries/5/entries/11/name,N10: Crypt of the Silenced Singers,N10: 寂靜歌者的墓室,project-proposed
VNotEE,/data/0/entries/6/entries/5/entries/11/entries/2/name,Shrine to Oghma,歐格瑪的神龕,project-proposed
VNotEE,/data/0/entries/6/entries/5/entries/12/name,N11: Door of the Eldritch Eye,N11: 妖眼之門,project-proposed
VNotEE,/data/0/entries/6/entries/5/entries/13/name,N12: Hall of the Whispered One,N12: 耳語者的廳堂,project-proposed
