english,category,first_page,occurrences,first_context,representative_source,confidence,zh_tw,status,scope,variants,evidence
Abeir,possible-proper-noun,164,2,data/10/entries/3/entries/16,"After the Spellplague came the Sundering. Elf scholars insist on calling it the Second Sundering, asserting that the creation of Evermeet thousands of years ago was a similar happening. Regardless of the name you give it, the event that unfolded beginning in 1482 DR was the result of another world-called Abeir, I am told-passing again into our own. The gods were once more cast into the mortal realm, this time embodied in mortal beings known as Chosen. The old troublemaker Ao seems to be the cause of it all, though why he chose to cast down the gods was a matter of dispute even among those entities while they were with us.",0.8,阿貝爾,project-proposed,contextual,艾伯爾,
Adamantine bar,possible-proper-noun,90,2,data/5/entries/14/entries/5/rows/0/1,Adamantine bar,0.95,精金條,existing-site,contextual,精金條,
Adjustable Stilts,possible-proper-noun,47,1,data/4/entries/8/entries/2/entries/4/entries/1/name,Adjustable Stilts,0.95,可調節高蹺,existing-site,contextual,可調節高蹺,
Adjusted Game Statistics,possible-proper-noun,210,1,data/12/entries/22/entries/3/name,Adjusted Game Statistics,0.95,調整後的遊戲具體數值,existing-site,contextual,調整後的遊戲具體數值,
Agorn,possible-proper-noun,4,39,data/0/entries/5/entries/0/rows/0/0,Agorn Fuoco,0.8,阿戈恩,project-proposed,contextual,阿貢,
Agorn Fuoco,possible-proper-noun,4,16,data/0/entries/5/entries/0/rows/0/0,Agorn Fuoco,0.8,阿戈恩·弗奧科,project-proposed,contextual,阿戈恩·富奧科;阿戈恩·弗科,
Ahghairon,possible-proper-noun,4,52,data/0/entries/5/entries/0/rows/1/0,Ahghairon,0.95,阿蓋爾倫,existing-site-possessive-name,contextual,阿格海爾;阿加隆;阿格海倫;阿格拉隆;阿格海隆恩;阿格海隆;阿蓋隆,"Dragonstaff of Ahghairon = 阿蓋爾倫的龍杖, existing item-page name"
Ahghairon's Dragonward,possible-proper-noun,6,4,data/1/entries/2/entries/6/name,Ahghairon's Dragonward,0.8,阿蓋爾倫的龍之結界,project-proposed-with-existing-person-name,contextual,阿格海爾的龍衛;阿格拉隆的龍衛;阿蓋爾倫的龍衛,
Ahmaergo,possible-proper-noun,4,25,data/0/entries/5/entries/0/rows/2/0,{@creature Ahmaergo|WDH},0.95,阿莫戈,existing-site,contextual,阿莫戈;阿瑪爾戈,
Algondar,possible-proper-noun,75,2,data/5/entries/9/entries/3/entries/4/entries/0,"Iokaste's late husband, Algondar Daliano, had a violet {@creature faerie dragon (violet)||faerie dragon} companion named Wishes. The faerie dragon detests Iokaste but remains on the payroll, begrudgingly using its magic to enhance performances for the sake of preserving Algondar's legacy. It prefers to remain {@condition invisible} and unseen otherwise. Iokaste refers to it derisively as ""the flying serpent.""",0.8,阿爾貢達爾,project-proposed,contextual,,
Algondar Daliano,possible-proper-noun,75,1,data/5/entries/9/entries/3/entries/4/entries/0,"Iokaste's late husband, Algondar Daliano, had a violet {@creature faerie dragon (violet)||faerie dragon} companion named Wishes. The faerie dragon detests Iokaste but remains on the payroll, begrudgingly using its magic to enhance performances for the sake of preserving Algondar's legacy. It prefers to remain {@condition invisible} and unseen otherwise. Iokaste refers to it derisively as ""the flying serpent.""",0.8,阿爾貢達爾·達利亞諾,project-proposed,contextual,,
Alias,heading/rule,224,1,data/13/entries/3/entries/1/items/59,60. Alias,0.8,艾莉雅絲,project-proposed,heading-only,別名,Named character in appendix C numbered Yawning Portal illustration key; not the ordinary noun alias.
Alturiak,possible-proper-noun,4,4,data/0/entries/5/entries/0/rows/4/0,Alturiak (month),0.8,阿爾圖里亞克,project-proposed,contextual,阿爾圖瑞克;深流月;阿圖瑞亞克,
Amath,possible-proper-noun,4,17,data/0/entries/5/entries/0/rows/5/0,Amath Sercent,0.8,阿瑪斯,project-proposed,contextual,,
Amath Sercent,possible-proper-noun,4,6,data/0/entries/5/entries/0/rows/5/0,Amath Sercent,0.8,阿瑪斯·瑟森特,project-proposed,contextual,阿瑪斯·賽爾森特,
Ambushers,possible-proper-noun,62,1,data/5/entries/4/entries/3/entries/2/name,Ambushers,0.95,伏擊者,existing-site,contextual,伏擊者,
Amcathra,possible-proper-noun,13,2,data/1/entries/9/entries/4/entries/1/entries/1/name,House Amcathra,0.8,安卡斯拉,project-proposed,contextual,,
Amendsfarm,possible-proper-noun,82,2,data/5/entries/11/entries/3/entries/4/entries/3,"The magister has already heard the testimony of the arresting officers, as well as that of any eyewitnesses. The characters are given an hour to plead their case while he asks questions. A character who tries to deceive Zastro must make a Charisma (Deception) check contested by the magister's Wisdom (Insight) check. A character who loses this contest is found guilty of hampering justice, locked up for a tenday, and fined 200 gp, on top of any other punishments meted out for crimes committed against the city and its citizenry. Those who can't or won't pay the fine are sentenced to hard labor for a year in Amendsfarm, a City Guard-run labor camp among the farms of Undercliff.",0.8,贖罪農場,project-proposed,contextual,補償農場,
Ammalia,possible-proper-noun,4,51,data/0/entries/5/entries/0/rows/6/0,{@creature Ammalia Cassalanter|WDH},0.95,阿瑪利亞,existing-site-short-form,contextual,阿瑪莉亞;阿瑪莉婭;阿姆瑪利亞;阿米莉亞,
Ammalia Cassalanter,possible-proper-noun,4,17,data/0/entries/5/entries/0/rows/6/0,{@creature Ammalia Cassalanter|WDH},0.95,阿瑪利亞·卡薩蘭特,existing-site,contextual,阿瑪利亞·卡薩蘭特,
Amn,possible-proper-noun,196,1,data/12/entries/7/entries/2,"The Rosznar family was convicted of slave trading-highly illegal in Waterdeep-and banished over a hundred years ago, but has since returned. The Rosznars' inability to regain the respect they feel they deserve rankles them. The slave trade has continued in Amn and elsewhere, and it's not like other noble houses don't have skeletons in their closets. But just because of a little family squabble that went public, the Rosznar name has been said with a sneer for a century. As part of the family's constant effort to prove this conception wrong and win others' respect, Esvele has been brought up to be the most proper noble possible, partaking in lessons of etiquette, dance, and poise as befits someone of her station.",0.8,安姆,project-proposed,contextual,,
Amphail,possible-proper-noun,63,3,data/5/entries/4/entries/5/entries/3/entries/0,"Fenerus Stormcastle was the founder of the Blood Hawk Posse, a gang of horse-riding brigands that, to this day, harries travelers on the road to Amphail. When he was drummed out of the gang after a botched raid, Fenerus ""retired"" to Waterdeep and joined the Guild of Chandlers and Lamplighters.",0.8,安菲爾,project-proposed,contextual,安普海爾,
Anamanu,possible-proper-noun,207,1,data/12/entries/19/entries/1,"Anamanué {@creature Laeral Silverhand|wdh} was born in the Year of the Cowl (765 DR), the fifth of seven daughters of the goddess Mystra. Each of the Seven Sisters is a powerful and ageless beauty with a penchant for arcane magic.",0.8,阿納瑪努,project-proposed,contextual,,
Anchor,possible-proper-noun,134,1,data/8/entries/3/entries/7/entries/10/entries/2/name,Anchor,0.95,錨,existing-site,contextual,錨,
