english,category,proposed_zh_tw,alternative_zh_tw,status,source,notes
Class,ui,職業,,proposed,5eclone; project glossary,
Classes,ui,職業,,proposed,5eclone; project glossary,
Subclass,ui-rule,子職業,,proposed,community,
Subclasses,ui-rule,子職業,,proposed,community,
Class Features,ui-rule,職業特性,,proposed,community,
Subclass Features,ui-rule,子職業特性,,proposed,community,
Hit Points,ui-rule,生命值,,proposed,project glossary,
Hit Dice,ui-rule,生命骰,,proposed,project glossary,
Hit Points at 1st Level,ui-rule,1 級生命值,,proposed,project,
Hit Points at Higher Levels,ui-rule,較高等級生命值,,proposed,project,
Proficiencies,ui-rule,熟練項,,proposed,5eclone,
Armor,ui-rule,護甲,,proposed,community,
Weapons,ui-rule,武器,,proposed,community,
Tools,ui-rule,工具,,proposed,community,
Saving Throws,ui-rule,豁免檢定,,proposed,project glossary,
Skills,ui-rule,技能,,proposed,community,
Equipment,ui-rule,裝備,,proposed,community,
Starting Equipment,ui-rule,初始裝備,,proposed,5eclone,
Quick Build,ui-rule,快速創角,,proposed,project,
Multiclassing,ui-rule,多職,,proposed,community,
Prerequisites,ui-rule,先決條件,,proposed,project,
Proficiencies Gained,ui-rule,獲得的熟練項,,proposed,project,
Spellcasting,ui-rule,施法,,proposed,project glossary,
Class Table,ui-rule,職業表,,proposed,project,
Level,ui-rule,等級,,proposed,project glossary,
Proficiency Bonus,ui-rule,熟練加值,,proposed,project glossary,
Features,ui-rule,特性,,proposed,community,
Cantrips Known,ui-rule,已知戲法,,proposed,community,
Spells Known,ui-rule,已知法術,,proposed,community,
Spell Slots per Spell Level,ui-rule,各環法術位,,proposed,project,
Optional Features,ui-rule,可選特性,,proposed,project,
View All Subclasses,ui,檢視所有子職業,,proposed,project,
Sources,ui,來源,,proposed,project glossary,
Reprinted,ui,已再版,,proposed,project,
Legacy Content,ui,舊版內容,,proposed,project,
Core Rules,ui,核心規則,,proposed,project,
