book,context,page,type,classification_confidence,english,zh_tw
VNotEE,data/0/name,,HEADING_LABEL,0.99,Vecna: Nest of the Eldritch Eye,維克那：妖眼魔窟
VNotEE,data/0/entries/0,,DM_INSTRUCTION,0.85,"{@i Vecna: Nest of the Eldritch Eye} is a fifth edition Dungeons & Dragons adventure for four to six characters of level 3. This adventure takes place in the city of Neverwinter on the Sword Coast. A sinister cult has crept into the city's bowels, and the characters must infiltrate the cult's hideout and root out its members before harm befalls the city.",《{@i 維克那：妖眼魔窟}》是一篇龍與地下城第五版冒險，適用於4-6名3級角色。這場冒險發生在劍灣的無冬城。一支罪惡的邪教已經悄無聲息地刺入了城市的內臟，而角色們必須滲透進邪教的藏身處，在他們危害城市安全之前將其連根拔起。
VNotEE,data/0/entries/1,,DM_INSTRUCTION,0.85,"The information presented here is for the DM's eyes only. If you're planning to play through the adventure with someone else as your DM, stop reading now!",這裡所展示的資訊只能由地下城主入眼。若你計劃讓別人作為地下城主來遊玩整篇冒險，請立即停止閱讀！
VNotEE,data/0/entries/3/name,,HEADING_LABEL,0.99,Running the Adventure,運作冒險
VNotEE,data/0/entries/3/entries/0,,DM_INSTRUCTION,0.85,"This adventure is designed to be playable in two or three hours. The characters are contracted by Lord Protector Dagult Neverember of Neverwinter to patrol the city. When a dead man is found clutching a withered eyeball, the characters are tasked with uncovering the cause of the man's death. This leads the characters to investigate the city's old catacombs and confront cultists of the lich-god Vecna.",這篇冒險設計遊玩時間為2-3小時。角色們和無冬城的護國公達格魯特·無燼簽訂了合同，保衛這座城市。角色們會發現一個死去的男人，手中緊緊攥著一顆乾癟的眼球，而他們的任務就是揭開這個男人死亡的原因。由此，角色們將會被引去調查這座城市眾多古老的地下墓穴，並直面巫妖之神維克那的邪教徒。
VNotEE,data/0/entries/3/entries/1/entries/0,,READ_ALOUD,0.99,"Text that appears in a box like this is meant to be read aloud or paraphrased for the players when their characters first arrive at a location or under a specific circumstance, as described in the text.",在這樣方框中的文段，是在玩家角色們第一次到達某地區或在特定情況時，為其讀出或解釋的內容。
VNotEE,data/0/entries/3/entries/2,,NARRATIVE,0.8,"When a creature's name appears in {@b bold} type, that's a visual clue pointing you to its stat block as a way of saying, ""Hey, DM, get this creature's stat block ready. You're going to need it."" All monster stat blocks referenced in this adventure can be found in the {@book Monster Manual|MM}.","當一個生物的名字以{@b 粗體}表示，這種視覺標識代表著這段文字將你指向該生物的資料，就像是對你說""嘿DM，準備好這個生物的資料。你會需要它的。""本篇冒險中所有的怪物資料都可以在《{@book 怪物圖鑑|MM}》中找到"
VNotEE,data/0/entries/3/entries/3,,DM_INSTRUCTION,0.85,"You can make the adventure easier or harder, or adjust it for smaller or larger groups of player characters, by adjusting the number of monsters or by adding or removing encounters.",你可以調整冒險的難度使其變得更難或簡單，或是調整其來適應更大或更小的玩家角色隊伍。透過調整怪物數量或增減遭遇的數量就可以做到。
VNotEE,data/0/entries/4/name,,HEADING_LABEL,0.99,Beginning the Adventure,開始冒險
VNotEE,data/0/entries/4/entries/0,,NARRATIVE,0.8,Begin the adventure by reading aloud the following:,冒險開始時，請朗讀下列文字：
VNotEE,data/0/entries/4/entries/1/entries/0,,READ_ALOUD,0.99,"The city of Neverwinter stands proudly on the Sword Coast, west and north of Dessarin Valley. Fifty years ago, the city was nearly destroyed by the eruption of Mount Hotenow. Today, the city stands mostly rebuilt. It bustles with skilled tradespeople, intrepid adventurers, and hardy townsfolk.",無冬城在劍灣德沙林河谷的西北方傲然挺立著。50年前，這座城市由於霍特諾火山的噴發而瀕臨毀滅。如今，這座城市已經幾近重建完成。老練的工匠，無畏的冒險者與堅忍不拔的平民在城中絡繹不絕。
VNotEE,data/0/entries/4/entries/1/entries/1,,READ_ALOUD,0.99,"Leadership in Neverwinter falls to Dagult Neverember, lord protector of the city—and your employer. The city lacks a formal militia, so Lord Neverember often hires mercenaries and adventurers such as yourselves to keep the city secure.",領導無冬城的責任落在了這座城市的護國公——也是你們的僱主——達格魯特·無燼的身上。這座城市缺少一支正式的軍事力量，因此無燼領主經常會招募像你們這樣的僱傭兵和冒險者來維持城市治安。
VNotEE,data/0/entries/4/entries/2,,DM_INSTRUCTION,0.85,"Regardless of whether the characters know each other prior to their arrival in Neverwinter, they are assigned to patrol the city together. The first few days of the patrol are uneventful (unless you decide otherwise), allowing the characters to familiarize themselves with the city.",無論角色在抵達無冬城時是否會想認識，他們都會被一起指派去巡邏城市。巡邏隊頭幾天一切太平（除非你另有打算），請允許角色們逐漸熟悉這座城市。
VNotEE,data/0/entries/5/name,,HEADING_LABEL,0.99,Dead Man's Message,死者的訊息
VNotEE,data/0/entries/5/entries/0,,DM_INSTRUCTION,0.85,"After the characters' first few days patrolling the city, tragedy strikes. Read or paraphrase the following:",在角色們度過了巡邏城市的頭幾天後，悲劇發生了。朗讀或複述下列文字：
VNotEE,data/0/entries/5/entries/1/entries/0,,READ_ALOUD,0.99,An anguished scream erupts from a nearby alley. The sound comes from a slender human woman clad in the light leather armor of a scout or investigator. Clutched in her arms is the dead body of a human man clad in a tattered gray robe. The man and woman bear a striking resemblance to each other.,附近的小巷傳來一聲驚恐的尖叫。這聲音來自一名身穿著輕便皮甲的瘦高人類女性斥候或調查員。在她的懷中緊抱著一具男性人類屍體，屍體身上穿著破舊的灰色長袍。這對男女外貌驚人地相似。
VNotEE,data/0/entries/5/entries/1/entries/1,,READ_ALOUD,0.99,"With a dull thump, a desiccated eyeball rolls out of the dead man's palm.",隨著一聲悶響，一顆乾癟的眼球從死者的手中滾落到地上。
VNotEE,data/0/entries/5/entries/2,,MIXED,0.85,"The dead man is Delvin Fearnehart, an investigator in Lord Neverember's employ; the woman holding his body is Kevori Fearnehart, Delvin's sister. A character who succeeds on a {@dc 8} Intelligence ({@skill History}) check recognizes both Delvin and Kevori as mercenaries employed by Lord Neverember to patrol the city.",死者是戴爾文·費內哈特，一名由無燼領主僱傭的調查員；緊抱著他的女人是珂沃莉·費內哈特，戴爾文的姐妹。成功透過一次{@dc 8}的智力（{@skill History||歷史}）檢定的角色會想起來戴爾文和珂沃莉都是無燼領主僱來巡邏城市的僱傭兵。
VNotEE,data/0/entries/5/entries/3,,DM_INSTRUCTION,0.85,"If the characters question Kevori (neutral good, human {@creature scout}), she shares the following information:",如果角色詢問珂沃莉（中立善良，人類{@creature scout||斥侯}），她會分享以下資訊：
VNotEE,data/0/entries/5/entries/4/entries/0/entries/0/name,,HEADING_LABEL,0.99,Investigators for Hire,僱來的調查員
VNotEE,data/0/entries/5/entries/4/entries/0/entries/0/entries/0,,NARRATIVE,0.8,Kevori and her brother were tasked by Lord Neverember to investigate suspicious cult activity in the city.,珂沃莉和她的兄弟被無燼領主派來調查在城市中活躍的可疑的邪教徒。
VNotEE,data/0/entries/5/entries/4/entries/0/entries/1/name,,HEADING_LABEL,0.99,Rendezvous Gone Wrong,接頭失敗
VNotEE,data/0/entries/5/entries/4/entries/0/entries/1/entries/0,,NARRATIVE,0.8,Kevori came here to rendezvous with Delvin after he'd infiltrated a potential cult hideout.,珂沃莉在發現了一個邪教徒窩點後，來這裡和戴爾文接頭。
VNotEE,data/0/entries/5/entries/4/entries/0/entries/2/name,,HEADING_LABEL,0.99,What She Knows,她知道什麼
VNotEE,data/0/entries/5/entries/4/entries/0/entries/2/entries/0,,NARRATIVE,0.8,The only clue Kevori has is the desiccated eyeball that dropped from Delvin's hand.,珂沃莉唯一的線索就是從戴爾文手中掉落的乾癟眼珠。
