english,category,sources,srd_5_1,srd_5_2,proposed_zh_tw,status,notes
+1 Wand of the War Mage,item,DMG; XDMG,true,true,,pending,
+2 Wand of the War Mage,item,DMG; XDMG,true,true,,pending,
+3 Wand of the War Mage,item,DMG; XDMG,true,true,,pending,
Abacus,item,PHB,true,false,,pending,
Ability Check,variantrule,XPHB,false,true,,pending,
Ability Score and Modifier,variantrule,XPHB,false,true,,pending,
Ability Score Improvement,classFeature; feat,PHB; XPHB,true,true,,pending,
Abjure Foes,classFeature,XPHB,false,true,,pending,
Aboleth,monster,MM; XMM,true,true,,pending,
Abyssal,language,PHB; XPHB,true,true,,pending,
Acid,item,XPHB,false,true,,pending,
Acid (vial),item,PHB,true,false,,pending,
Acid Splash,spell,PHB; XPHB,true,true,,pending,
Acolyte,background; monster,MM; PHB; XPHB,true,true,,pending,
Acrobatic Movement,classFeature,XPHB,false,true,,pending,
Acrobatics,skill,PHB; XPHB,true,true,,pending,
Action,variantrule,XPHB,false,true,,pending,
Action Surge,classFeature,PHB; XPHB,true,true,,pending,
Action Surge (two uses),classFeature,PHB,true,false,,pending,
Activate an Item,action,DMG,true,false,,pending,
Additional Fighting Style,subclassFeature,PHB; XPHB,true,true,,pending,
Additional Magical Secrets,subclassFeature,PHB,true,false,,pending,
Adult Black Dragon,monster,MM; XMM,true,true,,pending,
Adult Blue Dragon,monster,MM; XMM,true,true,,pending,
Adult Brass Dragon,monster,MM; XMM,true,true,,pending,
Adult Bronze Dragon,monster,MM; XMM,true,true,,pending,
Adult Copper Dragon,monster,MM; XMM,true,true,,pending,
Adult Gold Dragon,monster,MM; XMM,true,true,,pending,
Adult Green Dragon,monster,MM; XMM,true,true,,pending,
Adult Red Dragon,monster,MM; XMM,true,true,,pending,
Adult Silver Dragon,monster,MM; XMM,true,true,,pending,
Adult White Dragon,monster,MM; XMM,true,true,,pending,
Advantage,variantrule,XPHB,false,true,,pending,
Adventure,variantrule,XPHB,false,true,,pending,
Agonizing Blast,optionalfeature,PHB; XPHB,true,true,,pending,
Aid,spell,PHB; XPHB,true,true,,pending,
Air Elemental,monster,MM; XMM,true,true,,pending,
Alarm,spell,PHB; XPHB,true,true,,pending,
Alchemist's Fire,item,XPHB,false,true,,pending,
Alchemist's Fire (flask),item,PHB,true,false,,pending,
Alchemist's Supplies,baseitem,PHB; XPHB,true,true,,pending,
Ale (gallon),item,PHB,true,false,,pending,
Ale (mug),item,PHB; XPHB,true,true,,pending,
Alert,feat,XPHB,false,true,,pending,
Alignment,variantrule,XPHB,false,true,,pending,
Allosaurus,monster,XMM,false,true,,pending,
Ally,variantrule,XPHB,false,true,,pending,
Alter Self,spell,PHB; XPHB,true,true,,pending,
Amulet,item,PHB; XPHB,true,true,,pending,
Amulet of Health,item,DMG; XDMG,true,true,,pending,
Amulet of Proof against Detection and Location,item,DMG; XDMG,true,true,,pending,
Amulet of the Planes,item,DMG; XDMG,true,true,,pending,
Ancient Black Dragon,monster,MM; XMM,true,true,,pending,
Ancient Blue Dragon,monster,MM; XMM,true,true,,pending,
Ancient Brass Dragon,monster,MM; XMM,true,true,,pending,
Ancient Bronze Dragon,monster,MM; XMM,true,true,,pending,
Ancient Copper Dragon,monster,MM; XMM,true,true,,pending,
Ancient Gold Dragon,monster,MM; XMM,true,true,,pending,
Ancient Green Dragon,monster,MM; XMM,true,true,,pending,
Ancient Red Dragon,monster,MM; XMM,true,true,,pending,
Ancient Silver Dragon,monster,MM; XMM,true,true,,pending,
Ancient White Dragon,monster,MM; XMM,true,true,,pending,
Androsphinx,monster,MM,true,false,,pending,
Animal Friendship,spell,PHB; XPHB,true,true,,pending,
Animal Handling,skill,PHB; XPHB,true,true,,pending,
Animal Messenger,spell,PHB; XPHB,true,true,,pending,
Animal Shapes,spell,PHB; XPHB,true,true,,pending,
Animate Dead,spell,PHB; XPHB,true,true,,pending,
Animate Objects,spell,PHB; XPHB,true,true,,pending,
Animated Armor,monster,MM; XMM,true,true,,pending,
Animated Flying Sword,monster,XMM,false,true,,pending,
Animated Object,monster,XPHB,false,true,,pending,
Animated Rug of Smothering,monster,XMM,false,true,,pending,
Animated Shield,item,DMG; XDMG,true,true,,pending,
Ankheg,monster,MM; XMM,true,true,,pending,
Ankylosaurus,monster,XMM,false,true,,pending,
Antilife Shell,spell,PHB; XPHB,true,true,,pending,
Antimagic Field,spell,PHB; XPHB,true,true,,pending,
Antipathy/Sympathy,spell,PHB; XPHB,true,true,,pending,
Antitoxin,item,XPHB,false,true,,pending,
Antitoxin (vial),item,PHB,true,false,,pending,
Anubis,deity,PHB,true,false,,pending,
Ape,monster,MM; XMM,true,true,,pending,
Apep,deity,PHB,true,false,,pending,
Aphrodite,deity,PHB,true,false,,pending,
Apollo,deity,PHB,true,false,,pending,
Apparatus of Kwalish,item; vehicle,DMG; XDMG,true,true,,pending,
Arawn,deity,PHB,true,false,,pending,
Arcana,skill,PHB; XPHB,true,true,,pending,
Arcane Apotheosis,classFeature,XPHB,false,true,,pending,
Arcane Eye,spell,PHB; XPHB,true,true,,pending,
Arcane Lock,spell,PHB; XPHB,true,true,,pending,
Arcane Recovery,classFeature,PHB; XPHB,true,true,,pending,
Arcane Tradition,classFeature,PHB,true,false,,pending,
Arcane Tradition feature,classFeature,PHB,true,false,,pending,
Archdruid,classFeature,PHB; XPHB,true,true,,pending,
Archelon,monster,XMM,false,true,,pending,
Archery,feat; optionalfeature,PHB; XPHB,true,true,,pending,
Archmage,monster,MM; XMM,true,true,,pending,
Archmage and Mage Apprentice,card,DMG,true,false,,pending,
Area of Effect,variantrule,XPHB,false,true,,pending,
Ares,deity,PHB,true,false,,pending,
Armor Class,variantrule,XPHB,false,true,,pending,
Armor of Invulnerability,item,DMG; XDMG,true,true,,pending,
Armor of Resistance,itemGroup,XDMG,false,true,,pending,
Armor of Shadows,optionalfeature,PHB; XPHB,true,true,,pending,
Armor of Vulnerability,itemGroup,XDMG,false,true,,pending,
Armor of Vulnerability (Bludgeoning),item,DMG,true,false,,pending,
Armor of Vulnerability (Piercing),item,DMG,true,false,,pending,
Armor of Vulnerability (Slashing),item,DMG,true,false,,pending,
Armor Training,variantrule,XPHB,false,true,,pending,
