book,context,english,zh_tw,status
WDH,/data/0/name,Foreword,前言,project-proposed
WDH,/data/0/entries/5/name,Pronunciation Guide,發音指南,project-proposed
WDH,/data/1/name,Introduction,簡介,project-proposed
WDH,/data/1/entries/2/name,Story Overview,故事梗概,project-proposed
WDH,/data/1/entries/2/entries/2/name,Cache of Dragons,龍金劫,project-proposed
WDH,/data/1/entries/2/entries/3/name,Using the Poster Map,使用海報地圖,project-proposed
WDH,/data/1/entries/2/entries/4/name,War in the Streets,街頭戰爭,project-proposed
WDH,/data/1/entries/2/entries/5/name,Volo's Quest,瓦羅的任務,project-proposed
WDH,/data/1/entries/2/entries/6/name,Ahghairon's Dragonward,阿蓋爾倫的龍之結界,project-proposed
WDH,/data/1/entries/2/entries/7/name,Fireball!,火球術！,project-proposed
WDH,/data/1/entries/3/name,Choose Your Villain,選擇你的反派,project-proposed
WDH,/data/1/entries/3/entries/4/name,Xanathar,姍娜薩,existing-site
WDH,/data/1/entries/3/entries/5/name,The Cassalanters,卡薩蘭特家族,project-proposed
WDH,/data/1/entries/3/entries/6/name,Jarlaxle Baenre,賈拉索·班瑞,existing-site
WDH,/data/1/entries/3/entries/7/name,Manshoon,曼松,existing-site
WDH,/data/1/entries/4/name,Seasons,季節,project-proposed
WDH,/data/1/entries/4/entries/1/name,Spring,春,existing-site
WDH,/data/1/entries/4/entries/2/name,Summer,夏,existing-site
WDH,/data/1/entries/4/entries/3/name,Autumn,秋,existing-site
WDH,/data/1/entries/4/entries/4/name,Winter,冬,existing-site
WDH,/data/1/entries/4/entries/5/name,Faerûnian Calendar,費倫歷,project-proposed
WDH,/data/1/entries/4/entries/5/entries/1/name,Months,月曆,project-proposed
WDH,/data/1/entries/4/entries/5/entries/2/name,Annual Holidays,年度節日,project-proposed
WDH,/data/1/entries/6/name,Running the Adventure,運作冒險,project-proposed
WDH,/data/1/entries/6/entries/4/name,Abbreviations,縮寫,project-proposed
WDH,/data/1/entries/6/entries/5/name,Make Waterdeep Your Own,使深水城成為您自己的,project-proposed
WDH,/data/1/entries/7/name,Adventure Structure,冒險故事結構,project-proposed
WDH,/data/1/entries/7/entries/7/entries/0/name,Adventure Flowchart,冒險流程圖,project-proposed
WDH,/data/1/entries/7/entries/7/entries/1/name,Adventure Background,冒險背景,project-proposed
WDH,/data/1/entries/7/entries/7/entries/2/name,Villain Lairs,反派巢穴,project-proposed
WDH,/data/1/entries/7/entries/8/name,Volo's Waterdeep Enchiridion,瓦羅的深水城手冊,project-proposed
WDH,/data/1/entries/8/name,Life in Waterdeep,深水城的生活,project-proposed
WDH,/data/1/entries/8/entries/2/name,Breaking the Law,違反法律,project-proposed
WDH,/data/1/entries/8/entries/3/name,Arresting Characters,逮捕角色,project-proposed
WDH,/data/1/entries/8/entries/3/entries/3/name,Naming NPCs,命名NPC,project-proposed
WDH,/data/1/entries/9/name,Character Creation,建立角色,project-proposed
WDH,/data/1/entries/9/entries/2/name,Bringing the Party Together,隊伍匯合,project-proposed
WDH,/data/1/entries/9/entries/3/name,Buying Equipment at 1st Level,在1級時購買裝備,project-proposed
WDH,/data/1/entries/9/entries/4/name,Character Backgrounds,角色背景,project-proposed
WDH,/data/1/entries/9/entries/4/entries/1/name,Waterdavian Noble Families,深水城貴族家族,project-proposed
WDH,/data/1/entries/9/entries/4/entries/1/entries/1/name,House Amcathra,安卡斯拉家族,project-proposed
WDH,/data/1/entries/9/entries/4/entries/1/entries/2/name,House Margaster,瑪加斯特家族,project-proposed
WDH,/data/1/entries/9/entries/4/entries/1/entries/3/name,House Phylund,菲倫德家族,project-proposed
WDH,/data/1/entries/9/entries/4/entries/1/entries/4/name,House Rosznar,羅茲納爾家族,project-proposed
WDH,/data/1/entries/9/entries/5/name,Guild Membership,公會成員身份,project-proposed
WDH,/data/1/entries/9/entries/5/entries/4/name,Guilds of Waterdeep,深水城的公會,project-proposed
WDH,/data/1/entries/9/entries/6/name,Faction Membership,派系成員身份,project-proposed
WDH,/data/1/entries/9/entries/6/entries/1/name,Tracking Renown,追蹤聲望,project-proposed
WDH,/data/1/entries/9/entries/6/entries/1/entries/1/name,Bregan D'aerthe Ranks,布雷甘·達耶派系等級,project-proposed
WDH,/data/1/entries/9/entries/6/entries/1/entries/2/name,Force Grey Ranks,灰色力量（灰色力量）等級,project-proposed
WDH,/data/1/entries/9/entries/6/entries/1/entries/3/name,Xanathar Guild Ranks,姍娜薩公會等級,project-proposed
WDH,/data/1/entries/10/name,Character Advancement,角色升級,existing-site
WDH,/data/1/entries/11/name,Factions in Waterdeep,深水城的派系,project-proposed
WDH,/data/1/entries/11/entries/5/name,Bregan D'aerthe,布雷甘·達耶,project-proposed
WDH,/data/1/entries/11/entries/6/name,Emerald Enclave,翠綠閒庭,project-proposed
WDH,/data/1/entries/11/entries/7/name,Force Grey,灰色力量,project-proposed
WDH,/data/1/entries/11/entries/8/name,Harpers,豎琴手聯盟,project-proposed
WDH,/data/1/entries/11/entries/9/name,Lords' Alliance,領主聯盟,project-proposed
WDH,/data/1/entries/11/entries/10/name,Order of the Gauntlet,鐵手套教團,project-proposed
WDH,/data/1/entries/11/entries/11/name,Xanathar Guild,姍娜薩公會,project-proposed
WDH,/data/1/entries/11/entries/12/name,Zhentarim,散塔林會,project-proposed
WDH,/data/1/entries/12/name,The Yawning Portal,呵欠之門,project-proposed
WDH,/data/1/entries/12/entries/5/name,Familiar Faces,熟悉的面孔,project-proposed
WDH,/data/1/entries/12/entries/5/entries/2/name,Durnan,杜爾南,existing-site
WDH,/data/1/entries/12/entries/5/entries/3/name,"""Bonnie""","""邦妮""",project-proposed
WDH,/data/1/entries/12/entries/5/entries/4/name,"Mattrim ""Threestrings"" Mereg","馬特里姆""三絃"" 梅雷格",existing-site
