english,zh_tw,status,scope,first_book,first_page,first_context,occurrences,representative_source,variants
"""Are You Accepting New Students?""","""您接受新學生嗎？""",project-proposed,heading-only,KftGV,111,data/7/entries/8/entries/8/entries/1/name,1,"""Are You Accepting New Students?""",
"""Surrender the Mandolin or Else!""","""交出曼陀林，否則後果自負！""",project-proposed,heading-only,KftGV,111,data/7/entries/8/entries/8/entries/2/name,1,"""Surrender the Mandolin or Else!""",
"""We're Debt Collectors.""","我們是討債人。""",project-proposed,heading-only,KftGV,111,data/7/entries/8/entries/8/entries/3/name,1,"""We're Debt Collectors.""",
A Campaign of Heists,一場劫案行動,project-proposed,heading-only,KftGV,5,data/0/entries/0,2,"{@i Keys from the Golden Vault} presents thirteen Dungeons & Dragons adventures that feature heists. In each adventure, the characters receive a mission, plan the job, execute their plan, and try to escape the scene. You can run each heist as a standalone adventure or as part of a larger campaign (see ""{@area A Campaign of Heists|005|x}"" later in this introduction). Each adventure can be adapted to take place in any campaign setting you wish.",
A Cry for Help,求救的呼聲,project-proposed,heading-only,KftGV,12,data/1/entries/5/name,1,A Cry for Help,
A Favor Owed,一個欠下的人情,project-proposed,heading-only,KftGV,87,data/6/entries/4/entries/1/items/0/name,1,A Favor Owed,
A Short Leash,短鏈,project-proposed,heading-only,KftGV,196,data/13/entries/5/entries/2/name,1,A Short Leash,
A Stolen Stone,一塊被偷的石頭,project-proposed,heading-only,KftGV,24,data/1/entries/8/entries/3/entries/2/entries/1/name,1,A Stolen Stone,
A Typical Day,典型的一天,project-proposed,heading-only,KftGV,108,data/7/entries/7/entries/5/entries/1/name,2,A Typical Day,
A10: Waterfall Overlook,A10: 瀑布觀景臺,project-proposed,heading-only,KftGV,37,data/2/entries/7/entries/7/entries/13/name,1,A10: Waterfall Overlook,
A11: Nessus,A11: 內瑟斯,project-proposed,heading-only,KftGV,37,data/2/entries/7/entries/7/entries/14/name,1,A11: Nessus,
A12: Staging Area and Animal Cages,A12: 集結區與動物籠,project-proposed,heading-only,KftGV,37,data/2/entries/7/entries/7/entries/15/name,1,A12: Staging Area and Animal Cages,
A13: Employee Lounge,A13: 員工休息室,project-proposed,heading-only,KftGV,37,data/2/entries/7/entries/7/entries/16/name,1,A13: Employee Lounge,
A14: Quentin's Office,A14: 昆汀的辦公室,project-proposed,heading-only,KftGV,38,data/2/entries/7/entries/7/entries/17/name,1,A14: Quentin's Office,
A15: Clerk's Office,A15: 職員辦公室,project-proposed,heading-only,KftGV,38,data/2/entries/7/entries/7/entries/18/name,1,A15: Clerk's Office,
A16: Security Office,A16: 安全辦公室,project-proposed,heading-only,KftGV,38,data/2/entries/7/entries/7/entries/19/name,1,A16: Security Office,
A17: Holding Cells,A17: 拘留室,project-proposed,heading-only,KftGV,39,data/2/entries/7/entries/7/entries/20/name,1,A17: Holding Cells,
A18: Back Hallways,A18: 後走廊,project-proposed,heading-only,KftGV,39,data/2/entries/7/entries/7/entries/21/name,1,A18: Back Hallways,
A19: Vault,A19: 金庫,project-proposed,heading-only,KftGV,39,data/2/entries/7/entries/7/entries/22/name,1,A19: Vault,
A1: Docking Area,A1: 碼頭區,project-proposed,heading-only,KftGV,35,data/2/entries/7/entries/7/entries/3/name,1,A1: Docking Area,
A2: Avernus,A2: 阿弗納斯,project-proposed,heading-only,KftGV,35,data/2/entries/7/entries/7/entries/4/name,1,A2: Avernus,
A3: Dis,A3: 迪斯,project-proposed,heading-only,KftGV,35,data/2/entries/7/entries/7/entries/5/name,1,A3: Dis,
A4: Minauros,A4: 米瑙洛斯,project-proposed,heading-only,KftGV,35,data/2/entries/7/entries/7/entries/6/name,1,A4: Minauros,
A5: Bar Malbolge,A5: 巴爾博格酒吧,project-proposed,heading-only,KftGV,35,data/2/entries/7/entries/7/entries/7/name,1,A5: Bar Malbolge,
A6: Phlegethosian Spa & Stygian Baths,A6: 弗萊格索斯溫泉&斯提吉安浴場,project-proposed,heading-only,KftGV,35,data/2/entries/7/entries/7/entries/8/name,1,A6: Phlegethosian Spa & Stygian Baths,
A7: Laundry,A7: 洗衣房,project-proposed,heading-only,KftGV,35,data/2/entries/7/entries/7/entries/9/name,1,A7: Laundry,
A8: Cirque Maladomini,A8: 馬拉多米尼馬戲團,project-proposed,heading-only,KftGV,35,data/2/entries/7/entries/7/entries/10/name,1,A8: Cirque Maladomini,
A9: Cania,A9: 卡尼亞,project-proposed,heading-only,KftGV,36,data/2/entries/7/entries/7/entries/11/name,1,A9: Cania,
Abbey Interior,修道院內部,project-proposed,heading-only,KftGV,78,data/5/entries/10/entries/3/entries/1/entries/3/name,1,Abbey Interior,
Abbot Kavoda,院長卡沃達,project-proposed,heading-only,KftGV,78,data/5/entries/10/entries/3/entries/1/entries/4/name,1,Abbot Kavoda,
