category,english,source,zh_tw,status,existing_files
action,Dash,,疾走,existing-site,data/zh-TW/bestiary/bestiary-veor.json;data/zh-TW/rules/actions.json
action,Help,,協助,existing-site,data/zh-TW/rules/actions.json
condition,Invisible,,隱形,existing-site,data/zh-TW/rules/conditionsdiseases.json;data/zh-TW/rules/fluff-conditionsdiseases.json
condition,Invisible,PHB,隱形,existing-site,data/zh-TW/rules/conditionsdiseases.json;data/zh-TW/rules/fluff-conditionsdiseases.json
condition,Poisoned,,中毒,existing-site,data/zh-TW/rules/conditionsdiseases.json;data/zh-TW/rules/fluff-conditionsdiseases.json
condition,Poisoned,PHB,中毒,existing-site,data/zh-TW/rules/conditionsdiseases.json;data/zh-TW/rules/fluff-conditionsdiseases.json
condition,blinded,,目盲,existing-site,data/zh-TW/rules/conditionsdiseases.json;data/zh-TW/rules/fluff-conditionsdiseases.json
condition,blinded,PHB,目盲,existing-site,data/zh-TW/rules/conditionsdiseases.json;data/zh-TW/rules/fluff-conditionsdiseases.json
condition,charmed,,魅惑,existing-site,data/zh-TW/rules/conditionsdiseases.json;data/zh-TW/rules/fluff-conditionsdiseases.json
condition,charmed,PHB,魅惑,existing-site,data/zh-TW/rules/conditionsdiseases.json;data/zh-TW/rules/fluff-conditionsdiseases.json
condition,deafened,,耳聾,existing-site,data/zh-TW/rules/conditionsdiseases.json;data/zh-TW/rules/fluff-conditionsdiseases.json
condition,deafened,PHB,耳聾,existing-site,data/zh-TW/rules/conditionsdiseases.json;data/zh-TW/rules/fluff-conditionsdiseases.json
condition,exhaustion,,力竭,existing-site,data/zh-TW/rules/conditionsdiseases.json
condition,exhaustion,PHB,力竭,existing-site,data/zh-TW/rules/conditionsdiseases.json
condition,frightened,,恐懼,existing-site,data/zh-TW/rules/conditionsdiseases.json;data/zh-TW/rules/fluff-conditionsdiseases.json
condition,frightened,PHB,恐懼,existing-site,data/zh-TW/rules/conditionsdiseases.json;data/zh-TW/rules/fluff-conditionsdiseases.json
condition,incapacitated,,無力,existing-site,data/zh-TW/rules/conditionsdiseases.json
condition,incapacitated,PHB,無力,existing-site,data/zh-TW/rules/conditionsdiseases.json
condition,invisible,,隱形,existing-site,data/zh-TW/rules/conditionsdiseases.json;data/zh-TW/rules/fluff-conditionsdiseases.json
condition,invisible,PHB,隱形,existing-site,data/zh-TW/rules/conditionsdiseases.json;data/zh-TW/rules/fluff-conditionsdiseases.json
condition,paralyzed,,麻痺,existing-site,data/zh-TW/rules/conditionsdiseases.json;data/zh-TW/rules/fluff-conditionsdiseases.json
condition,paralyzed,PHB,麻痺,existing-site,data/zh-TW/rules/conditionsdiseases.json;data/zh-TW/rules/fluff-conditionsdiseases.json
condition,petrified,,石化,existing-site,data/zh-TW/rules/conditionsdiseases.json;data/zh-TW/rules/fluff-conditionsdiseases.json
condition,petrified,PHB,石化,existing-site,data/zh-TW/rules/conditionsdiseases.json;data/zh-TW/rules/fluff-conditionsdiseases.json
condition,poisoned,,中毒,existing-site,data/zh-TW/rules/conditionsdiseases.json;data/zh-TW/rules/fluff-conditionsdiseases.json
condition,poisoned,PHB,中毒,existing-site,data/zh-TW/rules/conditionsdiseases.json;data/zh-TW/rules/fluff-conditionsdiseases.json
condition,prone,,伏地,existing-site,data/zh-TW/rules/conditionsdiseases.json;data/zh-TW/rules/fluff-conditionsdiseases.json
condition,prone,PHB,伏地,existing-site,data/zh-TW/rules/conditionsdiseases.json;data/zh-TW/rules/fluff-conditionsdiseases.json
condition,restrained,,束縛,existing-site,data/zh-TW/rules/conditionsdiseases.json;data/zh-TW/rules/fluff-conditionsdiseases.json
condition,restrained,PHB,束縛,existing-site,data/zh-TW/rules/conditionsdiseases.json;data/zh-TW/rules/fluff-conditionsdiseases.json
condition,stunned,,震懾,existing-site,data/zh-TW/rules/conditionsdiseases.json;data/zh-TW/rules/fluff-conditionsdiseases.json
condition,stunned,PHB,震懾,existing-site,data/zh-TW/rules/conditionsdiseases.json;data/zh-TW/rules/fluff-conditionsdiseases.json
condition,unconscious,,昏迷,existing-site,data/zh-TW/rules/conditionsdiseases.json;data/zh-TW/rules/fluff-conditionsdiseases.json
condition,unconscious,PHB,昏迷,existing-site,data/zh-TW/rules/conditionsdiseases.json;data/zh-TW/rules/fluff-conditionsdiseases.json
creature,Acolyte,,侍僧,existing-site,data/zh-TW/bestiary/bestiary-mm.json;data/zh-TW/bestiary/fluff-bestiary-mm.json;data/zh-TW/character-options/backgrounds.json;data/zh-TW/character-options/fluff-backgrounds.json
creature,Adult Red Dragon,,成年紅龍,existing-site,data/zh-TW/bestiary/bestiary-mm.json;data/zh-TW/bestiary/bestiary-xmm.json;data/zh-TW/bestiary/fluff-bestiary-mm.json;data/zh-TW/bestiary/fluff-bestiary-xmm.json
creature,Aljanor Keenblade,OotA,阿爾詹諾·基恩布萊德,existing-site,data/zh-TW/bestiary/bestiary-oota.json;data/zh-TW/bestiary/fluff-bestiary-oota.json
creature,Amarith Coppervein,OotA,阿瑪瑞斯·銅脈,existing-site,data/zh-TW/bestiary/bestiary-oota.json;data/zh-TW/bestiary/fluff-bestiary-oota.json
creature,Animated Armor,,活化盔甲,existing-site,data/zh-TW/bestiary/bestiary-mm.json;data/zh-TW/bestiary/bestiary-xmm.json;data/zh-TW/bestiary/fluff-bestiary-mm.json;data/zh-TW/bestiary/fluff-bestiary-xmm.json
creature,Asha Vandree,OotA,阿莎·範德里,existing-site,data/zh-TW/bestiary/bestiary-oota.json
creature,Awakened Zurkhwood,OotA,覺醒的祖克木,existing-site,data/zh-TW/bestiary/bestiary-oota.json;data/zh-TW/bestiary/fluff-bestiary-oota.json
creature,Awakened zurkhwood,OotA,覺醒的祖克木,existing-site,data/zh-TW/bestiary/bestiary-oota.json;data/zh-TW/bestiary/fluff-bestiary-oota.json
creature,Balor,,巴洛炎魔,existing-site,data/zh-TW/bestiary/bestiary-mm.json;data/zh-TW/bestiary/bestiary-xmm.json;data/zh-TW/bestiary/fluff-bestiary-mm.json;data/zh-TW/bestiary/fluff-bestiary-xmm.json
creature,Bandit,,匪徒,existing-site,data/zh-TW/bestiary/bestiary-mm.json;data/zh-TW/bestiary/bestiary-xmm.json;data/zh-TW/bestiary/fluff-bestiary-mm.json;data/zh-TW/bestiary/fluff-bestiary-xmm.json
creature,Baphomet,MTF,巴弗滅,existing-site,data/zh-TW/bestiary/bestiary-mpmm.json;data/zh-TW/bestiary/bestiary-mtf.json;data/zh-TW/bestiary/fluff-bestiary-mm.json;data/zh-TW/bestiary/fluff-bestiary-mpmm.json;data/zh-TW/bestiary/fluff-bestiary-mtf.json;data/zh-TW/bestiary/legendarygroups.json
creature,Barlgura,,惡猿魔,existing-site,data/zh-TW/bestiary/bestiary-mm.json;data/zh-TW/bestiary/bestiary-xmm.json;data/zh-TW/bestiary/fluff-bestiary-mm.json;data/zh-TW/bestiary/fluff-bestiary-xmm.json
creature,Basilisk,,石化蜥蜴,existing-site,data/zh-TW/bestiary/bestiary-mm.json;data/zh-TW/bestiary/bestiary-xmm.json;data/zh-TW/bestiary/fluff-bestiary-mm.json;data/zh-TW/bestiary/fluff-bestiary-xmm.json
creature,Beholder,,眼魔,existing-site,data/zh-TW/bestiary/bestiary-mm.json;data/zh-TW/bestiary/bestiary-xmm.json;data/zh-TW/bestiary/fluff-bestiary-mm.json;data/zh-TW/bestiary/fluff-bestiary-xmm.json;data/zh-TW/bestiary/legendarygroups.json;data/zh-TW/craft-pages/fluff-homecrafts.json;data/zh-TW/craft-pages/homecrafts.json
creature,Beholder,MM,眼魔,existing-site,data/zh-TW/bestiary/bestiary-mm.json;data/zh-TW/bestiary/bestiary-xmm.json;data/zh-TW/bestiary/fluff-bestiary-mm.json;data/zh-TW/bestiary/fluff-bestiary-xmm.json;data/zh-TW/bestiary/legendarygroups.json;data/zh-TW/craft-pages/fluff-homecrafts.json;data/zh-TW/craft-pages/homecrafts.json
creature,Berserker,,狂戰士,existing-site,data/zh-TW/bestiary/bestiary-mm.json;data/zh-TW/bestiary/bestiary-xmm.json;data/zh-TW/bestiary/fluff-bestiary-mm.json;data/zh-TW/bestiary/fluff-bestiary-xmm.json
creature,Black Pudding,,黑布丁,existing-site,data/zh-TW/bestiary/bestiary-mm.json;data/zh-TW/bestiary/bestiary-xmm.json;data/zh-TW/bestiary/fluff-bestiary-mm.json;data/zh-TW/bestiary/fluff-bestiary-xmm.json;data/zh-TW/craft-pages/fluff-recipes.json;data/zh-TW/craft-pages/recipes.json
creature,Blurg,OotA,布勒格,existing-site,data/zh-TW/bestiary/bestiary-oota.json;data/zh-TW/bestiary/fluff-bestiary-oota.json
creature,Bridesmaid of Zuggtmoy,OotA,祖格莫伊的伴娘,existing-site,data/zh-TW/bestiary/bestiary-oota.json
creature,Bugbear,,熊地精,existing-site,data/zh-TW/bestiary/bestiary-mm.json;data/zh-TW/bestiary/fluff-bestiary-mm.json;data/zh-TW/character-options/fluff-races.json;data/zh-TW/character-options/races.json
creature,Buppido,OotA,布皮多,existing-site,data/zh-TW/bestiary/bestiary-oota.json;data/zh-TW/bestiary/fluff-bestiary-oota.json
creature,Carrion Crawler,,食腐蟲,existing-site,data/zh-TW/bestiary/bestiary-mm.json;data/zh-TW/bestiary/bestiary-xmm.json;data/zh-TW/bestiary/fluff-bestiary-mm.json;data/zh-TW/bestiary/fluff-bestiary-xmm.json
creature,Cave Badger,OotA,洞穴獾,existing-site,data/zh-TW/bestiary/bestiary-oota.json
creature,Chamberlain of Zuggtmoy,OotA,祖格莫伊的管家,existing-site,data/zh-TW/bestiary/bestiary-oota.json
creature,Chasme,,喀嘶魔,existing-site,data/zh-TW/bestiary/bestiary-mm.json;data/zh-TW/bestiary/bestiary-xmm.json;data/zh-TW/bestiary/fluff-bestiary-mm.json;data/zh-TW/bestiary/fluff-bestiary-xmm.json
creature,Chuul Spore Servant,OotA,甲伏怪孢子奴僕,existing-site,data/zh-TW/bestiary/bestiary-oota.json
creature,Chuul spore servant,OotA,甲伏怪孢子奴僕,existing-site,data/zh-TW/bestiary/bestiary-oota.json
creature,Commoner,,平民,existing-site,data/zh-TW/bestiary/bestiary-mm.json;data/zh-TW/bestiary/bestiary-wtthc.json;data/zh-TW/bestiary/bestiary-xmm.json;data/zh-TW/bestiary/fluff-bestiary-mm.json;data/zh-TW/bestiary/fluff-bestiary-wtthc.json;data/zh-TW/bestiary/fluff-bestiary-xmm.json
creature,Cultist,,邪教徒,existing-site,data/zh-TW/bestiary/bestiary-mm.json;data/zh-TW/bestiary/bestiary-xmm.json;data/zh-TW/bestiary/fluff-bestiary-mm.json;data/zh-TW/bestiary/fluff-bestiary-xmm.json
creature,Darkmantle,,暗幕魔獸,existing-site,data/zh-TW/bestiary/bestiary-mm.json;data/zh-TW/bestiary/bestiary-xmm.json;data/zh-TW/bestiary/fluff-bestiary-mm.json;data/zh-TW/bestiary/fluff-bestiary-xmm.json
creature,Death Tyrant,,亡眼暴君,existing-site,data/zh-TW/bestiary/bestiary-mm.json;data/zh-TW/bestiary/bestiary-xmm.json;data/zh-TW/bestiary/fluff-bestiary-mm.json;data/zh-TW/bestiary/fluff-bestiary-xmm.json;data/zh-TW/bestiary/legendarygroups.json
creature,Death tyrant,,亡眼暴君,existing-site,data/zh-TW/bestiary/bestiary-mm.json;data/zh-TW/bestiary/bestiary-xmm.json;data/zh-TW/bestiary/fluff-bestiary-mm.json;data/zh-TW/bestiary/fluff-bestiary-xmm.json;data/zh-TW/bestiary/legendarygroups.json
creature,Death tyrant,MM,亡眼暴君,existing-site,data/zh-TW/bestiary/bestiary-mm.json;data/zh-TW/bestiary/bestiary-xmm.json;data/zh-TW/bestiary/fluff-bestiary-mm.json;data/zh-TW/bestiary/fluff-bestiary-xmm.json;data/zh-TW/bestiary/legendarygroups.json
