english,zh_tw,category,status,source_paths
"""One Must Die!""","""必須死一個！""",heading-label,project-proposed,data/19/entries/4/entries/39/entries/5
1. Entrance,1. 入口,heading-label,project-proposed,data/19/entries/4/entries/2
1. The Tome of Strahd,1. 施特拉德手記,heading-label,project-proposed,data/2/entries/2/entries/6/entries/4
10. Conservatory,10. 音樂室,heading-label,project-proposed,data/19/entries/4/entries/11
11. Balcony,11. 陽臺,heading-label,project-proposed,data/19/entries/4/entries/12
12. Master Suite,12. 主臥,heading-label,project-proposed,data/19/entries/4/entries/13
13. Bathroom,13. 浴室,heading-label,project-proposed,data/19/entries/4/entries/14
14. Storage Room,14. 儲藏室,heading-label,project-proposed,data/19/entries/4/entries/15
15. Nursemaid's Suite,15. 保姆的套間,heading-label,project-proposed,data/19/entries/4/entries/16
16. Attic Hall,16. 閣樓大廳,heading-label,project-proposed,data/19/entries/4/entries/17
17. Spare Bedroom,17. 備用臥室,heading-label,project-proposed,data/19/entries/4/entries/18
18. Storage Room,18. 儲藏室,heading-label,project-proposed,data/19/entries/4/entries/19
19. Spare Bedroom,19. 備用臥室,heading-label,project-proposed,data/19/entries/4/entries/20
2. Main Hall,2. 大堂,heading-label,project-proposed,data/19/entries/4/entries/3
2. The Holy Symbol of Ravenkind,2. 鴉族聖徽,heading-label,project-proposed,data/2/entries/2/entries/6/entries/5
20. Children's Room,20. 兒童房,heading-label,project-proposed,data/19/entries/4/entries/21
21. Secret Stairs,21. 秘密樓梯,heading-label,project-proposed,data/19/entries/4/entries/22
22. Dungeon Level Access,22. 進入地下層,heading-label,project-proposed,data/19/entries/4/entries/23
23. Family Crypts,23. 家族地下墓穴,heading-label,project-proposed,data/19/entries/4/entries/24
23A. Empty Crypt,23A. 空墓穴,heading-label,project-proposed,data/19/entries/4/entries/24/entries/1
23B. Walter's Crypt,23B. 沃爾特的墓室,heading-label,project-proposed,data/19/entries/4/entries/24/entries/2
23C. Gustav's Crypt,23c. 古斯塔夫的墓室,heading-label,project-proposed,data/19/entries/4/entries/24/entries/3
23D. Elisabeth's Crypt,23D. 伊麗莎白的墓穴,heading-label,project-proposed,data/19/entries/4/entries/24/entries/4
23E. Rose's Crypt,23E. 玫瑰的墓室,heading-label,project-proposed,data/19/entries/4/entries/24/entries/5
23F. Thorn's Crypt,23F. 荊棘的墓室,heading-label,project-proposed,data/19/entries/4/entries/24/entries/6
24. Cult Initiates' Quarters,24. 邪教徒的傳教啟蒙間,heading-label,project-proposed,data/19/entries/4/entries/25
25. Well and Cultist Quarters,25. 水井和邪教徒的住處,heading-label,project-proposed,data/19/entries/4/entries/26
25A,25a,heading-label,project-proposed,data/19/entries/4/entries/26/entries/2/entries/1
25B,25b,heading-label,project-proposed,data/19/entries/4/entries/26/entries/2/entries/2
25C,25c,heading-label,project-proposed,data/19/entries/4/entries/26/entries/2/entries/3
25D,25D,heading-label,project-proposed,data/19/entries/4/entries/26/entries/2/entries/4
