book,context,english,zh_tw,status
BGDIA,/data/0/name,About the Adventure,關於冒險,project-proposed
BGDIA,/data/0/entries/2/name,Adventure Overview,冒險概述,project-proposed
BGDIA,/data/0/entries/2/entries/1/name,Trouble in Baldur's Gate,博德之門的麻煩,project-proposed
BGDIA,/data/0/entries/2/entries/2/name,Visit to Candlekeep,燭堡之旅,project-proposed
BGDIA,/data/0/entries/2/entries/3/name,To the Nine Hells!,去九獄！,project-proposed
BGDIA,/data/0/entries/3/name,Adventure Background,冒險背景,project-proposed
BGDIA,/data/0/entries/3/entries/2/name,Zariel's Fall,扎瑞爾的墜落,project-proposed
BGDIA,/data/0/entries/3/entries/3/name,The Companion,伴陽,project-proposed
BGDIA,/data/0/entries/3/entries/4/name,Thavius's Betrayal,塔維斯的背叛,project-proposed
BGDIA,/data/0/entries/4/name,Roleplaying Devils,扮演魔鬼,project-proposed
BGDIA,/data/0/entries/4/entries/4/name,Important References,重要參考,project-proposed
BGDIA,/data/0/entries/4/entries/4/entries/1/name,Stat Blocks,資料卡,project-proposed
BGDIA,/data/0/entries/4/entries/4/entries/2/name,Spells and Magic Items,法術與魔法物品,project-proposed
BGDIA,/data/0/entries/4/entries/5/name,Devil Traits,魔鬼特質,project-proposed
BGDIA,/data/0/entries/5/name,Life in the Nine Hells,九獄生活,project-proposed
BGDIA,/data/0/entries/5/entries/1/name,Everyone's Unhappy,諸人不幸,project-proposed
BGDIA,/data/0/entries/5/entries/2/name,Everything's Awful,萬物可憎,project-proposed
BGDIA,/data/0/entries/5/entries/3/name,Paradise Lost,失落樂園,project-proposed
BGDIA,/data/0/entries/5/entries/4/name,Anywhere is Everywhere,此即彼處,project-proposed
BGDIA,/data/0/entries/5/entries/5/name,That Personal Touch,個人心魔,project-proposed
BGDIA,/data/1/name,Chapter 1: A Tale of Two Cities,第1章：雙城記,project-proposed
BGDIA,/data/1/entries/3/name,Fall of Elturel,艾爾托瑞爾的隕落,project-proposed
BGDIA,/data/1/entries/4/name,Evil in Baldur's Gate,博德之門的邪惡,project-proposed
BGDIA,/data/1/entries/5/name,Running This Chapter,運作本章,project-proposed
BGDIA,/data/1/entries/6/name,The Basilisk Gate,石化蜥蜴之門,project-proposed
BGDIA,/data/1/entries/6/entries/7/name,Meeting Captain Zodge,與佐迪隊長見面,project-proposed
BGDIA,/data/1/entries/7/name,Elfsong Tavern,精靈之歌酒館,project-proposed
BGDIA,/data/1/entries/7/entries/2/name,About the Tavern,關於酒館,project-proposed
BGDIA,/data/1/entries/7/entries/2/entries/3/name,Taverns in Baldur's Gate,博德之門的酒館,project-proposed
BGDIA,/data/1/entries/7/entries/2/entries/3/entries/1/name,Baldur's Bones,博德之骨,project-proposed
BGDIA,/data/1/entries/7/entries/3/name,Tavern Patrons,酒館顧客,project-proposed
BGDIA,/data/1/entries/7/entries/4/name,Tavern Locations,酒館地點,project-proposed
BGDIA,/data/1/entries/7/entries/4/entries/1/name,E1. Taproom,E1. 酒吧間,project-proposed
BGDIA,/data/1/entries/7/entries/4/entries/2/name,E2. Lounge,E2. 休息室,project-proposed
BGDIA,/data/1/entries/7/entries/4/entries/3/name,E3. Private Dining Room,E3. 私人餐廳,project-proposed
BGDIA,/data/1/entries/7/entries/4/entries/4/name,E4. Storage Alcove,E4. 儲藏凹室,project-proposed
BGDIA,/data/1/entries/7/entries/4/entries/5/name,E5. Storeroom,E5. 儲藏室,project-proposed
BGDIA,/data/1/entries/7/entries/4/entries/6/name,E6. Kitchen,E6. 廚房,project-proposed
BGDIA,/data/1/entries/7/entries/4/entries/7/name,E7. Upstairs Dining Room,E7. 上層餐廳,project-proposed
BGDIA,/data/1/entries/7/entries/4/entries/8/name,E8. Private Dining Room,E8. 私人餐廳,project-proposed
BGDIA,/data/1/entries/7/entries/4/entries/9/name,E9. Fancy Guest Suite,E9. 夢幻套房,project-proposed
BGDIA,/data/1/entries/7/entries/4/entries/10/name,E10. Private Dining Room,E10. 私人餐廳,project-proposed
BGDIA,/data/1/entries/7/entries/4/entries/11/name,E11. Large Guest Room,E11. 大客房,project-proposed
BGDIA,/data/1/entries/7/entries/4/entries/11/entries/3/name,Treasure,寶藏,existing-site
BGDIA,/data/1/entries/7/entries/4/entries/12/name,E12. Plain Guest Rooms,E12. 普通客房,project-proposed
BGDIA,/data/1/entries/7/entries/4/entries/13/name,E13. Alan's Bedroom,E13. 艾倫的臥室,project-proposed
BGDIA,/data/1/entries/7/entries/4/entries/13/entries/2/name,Treasure,寶藏,existing-site
BGDIA,/data/1/entries/7/entries/5/name,Dealing with Tarina,和塔麗娜打交道,project-proposed
BGDIA,/data/1/entries/7/entries/5/entries/3/name,Killing Time in the Tavern,在酒館消磨時間,project-proposed
BGDIA,/data/1/entries/7/entries/6/name,Elfsong,精靈之歌,project-proposed
BGDIA,/data/1/entries/7/entries/7/name,With Friends Like These,有像這樣的朋友,project-proposed
BGDIA,/data/1/entries/7/entries/7/entries/6/name,Treasure,寶藏,existing-site
BGDIA,/data/1/entries/7/entries/8/name,What Tarina Knows,塔麗娜所知道的事情,project-proposed
BGDIA,/data/1/entries/8/name,Dungeon of the Dead Three,死亡三神地城,project-proposed
BGDIA,/data/1/entries/8/entries/2/name,Arrival at the Bathhouse,到達澡堂,project-proposed
BGDIA,/data/1/entries/8/entries/3/name,Bathhouse Locations,澡堂地點,project-proposed
BGDIA,/data/1/entries/8/entries/3/entries/1/name,D1. Courtyard,D1. 庭院,project-proposed
BGDIA,/data/1/entries/8/entries/3/entries/2/name,D2. Baths,D2. 浴室,project-proposed
BGDIA,/data/1/entries/8/entries/3/entries/3/name,D3. South Massage Room,D3. 南部按摩室,project-proposed
BGDIA,/data/1/entries/8/entries/3/entries/4/name,D4. North Massage Room,D4. 北部按摩室,project-proposed
