english,category,proposed_zh_tw,alternative_zh_tw,status,source,notes
Players,ui,玩家,,proposed,5etools interface,
Rules,ui,規則,,proposed,5etools interface,
Dungeon Masters,ui,地下城主,,proposed,5etools interface,
Species,ui-rule,物種,種族,conflict,SRD 5.2.1; community,2024 uses Species while 2014 uses Race
Race,ui-rule,種族,,proposed,SRD 5.1,
Classes,ui-rule,職業,,proposed,SRD 5.1; SRD 5.2.1,
Feats,ui-rule,專長,,proposed,SRD 5.1; SRD 5.2.1,
Options & Features,ui,選項與特性,,proposed,5etools interface,
Backgrounds,ui-rule,背景,,proposed,SRD 5.1; SRD 5.2.1,
Items,ui-rule,物品,,proposed,SRD 5.1; SRD 5.2.1,
Spells,ui-rule,法術,,proposed,SRD 5.1; SRD 5.2.1,
Stat Generator,ui,屬性產生器,,proposed,5etools interface,
Adventures,ui,冒險,,proposed,5etools interface,Only interface text is in first-stage scope
Books,ui,書籍,,proposed,5etools interface,Only interface text is in first-stage scope
Rules Glossary,ui-rule,規則術語彙編,規則彙編,conflict,SRD 5.2.1; 5etools interface,
Conditions,ui-rule,狀態,,proposed,SRD 5.1; SRD 5.2.1,
Bestiary,ui,怪物圖鑑,,proposed,5etools interface,
DM Screen,ui,DM 螢幕,地下城主屏幕,conflict,5etools interface,
Loot Generator,ui,戰利品產生器,,proposed,5etools interface,
CR Calculator,ui,挑戰等級計算器,,proposed,5etools interface,
Search,ui-rule,搜尋,,proposed,5etools interface; SRD 5.2.1,
Reset,ui,重設,,proposed,5etools interface,
Name,ui,名稱,,proposed,5etools interface,
Level,ui-rule,等級,,proposed,5etools interface; SRD 5.1; SRD 5.2.1,
Time,ui,時間,,proposed,5etools interface,
School,ui-rule,學派,,proposed,5etools interface; SRD 5.1; SRD 5.2.1,
Range,ui-rule,距離,,proposed,5etools interface; SRD 5.1; SRD 5.2.1,
Source,ui,來源,,proposed,5etools interface,
Book View,ui,書籍檢視,,proposed,5etools interface,
Table View,ui,表格檢視,,proposed,5etools interface,
Manage Content,ui,管理內容,,proposed,5etools interface,
