english,zh_tw,status,scope,first_book,first_page,first_context,occurrences,representative_source,variants
- Menu -,- 選單 -,project-proposed,heading-only,BGDIA,245,data/14/entries/1/name,1,- Menu -,
1. Acererak's Warning,1. 阿瑟瑞克的警告,project-proposed,heading-only,ToA,130,data/5/entries/5/entries/3/name,1,1. Acererak's Warning,
1. Beggars' Palaces,1. 乞丐宮殿,project-proposed,heading-only,ToA,18,data/1/entries/8/entries/6/entries/3/name,1,1. Beggars' Palaces,
1. Boats,1. 船隻,project-proposed,heading-only,ToA,47,data/2/entries/4/entries/8/entries/6/name,1,1. Boats,
1. Canoes,1. 獨木舟,project-proposed,heading-only,ToA,89,data/2/entries/4/entries/49/entries/6/name,1,1. Canoes,
1. City Entrance,1. 城市入口,project-proposed,heading-only,ToA,95,data/3/entries/4/entries/2/name,1,1. City Entrance,
1. Command Tents,1. 指揮帳篷,project-proposed,heading-only,ToA,44,data/2/entries/4/entries/7/entries/6/name,1,1. Command Tents,
1. Entrance,1. 入口,project-proposed,heading-only,ToA,75,data/2/entries/4/entries/27/entries/9/name,1,1. Entrance,
1. Entryway,1. 入口,project-proposed,heading-only,ToA,27,data/1/entries/10/entries/5/entries/1/name,1,1. Entryway,
1. Jungle Gate,叢林之門,project-proposed,heading-only,ToA,66,data/2/entries/4/entries/18/entries/14/name,1,1. Jungle Gate,
1. Magma Rift,1. 岩漿裂縫,project-proposed,heading-only,ToA,61,data/2/entries/4/entries/15/entries/9/name,1,1. Magma Rift,
1. Main Gate,主門,project-proposed,heading-only,ToA,114,data/4/entries/4/entries/2/name,1,1. Main Gate,
1. Monastery,1. 修道院,project-proposed,heading-only,ToA,70,data/2/entries/4/entries/20/entries/11/name,1,1. Monastery,
1. Office,辦公室,project-proposed,heading-only,ToA,86,data/2/entries/4/entries/48/entries/6/name,1,1. Office,
1. Petrified Tree,1. 石化樹,project-proposed,heading-only,ToA,59,data/2/entries/4/entries/13/entries/13/name,1,1. Petrified Tree,
1. Thorn Maze,1. 荊棘迷宮,project-proposed,heading-only,ToA,49,data/2/entries/4/entries/10/entries/9/name,1,1. Thorn Maze,
1. West Gate,1. 西門,project-proposed,heading-only,ToA,55,data/2/entries/4/entries/12/entries/12/name,1,1. West Gate,
