book,context,english,zh_tw,status
HotDQ,/data/0/name,Campaign Overview,戰役概覽,project-proposed
HotDQ,/data/0/entries/2/entries/0/entries/0/name,Adventure Supplements,冒險補充,project-proposed
HotDQ,/data/0/entries/3/name,Hoard of the Dragon Queen,龍後的寶山,project-proposed
HotDQ,/data/0/entries/3/entries/1/entries/0/entries/0/name,Character Advancement,角色升級,existing-site
HotDQ,/data/0/entries/3/entries/2/name,Background,背景,project-proposed
HotDQ,/data/0/entries/3/entries/2/entries/1/name,Dragon Masks,龍面具,project-proposed
HotDQ,/data/0/entries/3/entries/2/entries/2/name,Secrets,秘密,project-proposed
HotDQ,/data/0/entries/3/entries/2/entries/3/name,Cult Organization,邪教組織,project-proposed
HotDQ,/data/0/entries/3/entries/3/name,Overview,概述,project-proposed
HotDQ,/data/0/entries/4/name,The Rise of Tiamat,提亞馬特的崛起,project-proposed
HotDQ,/data/0/entries/4/entries/1/entries/0/entries/0/name,Character Advancement,角色升級,existing-site
HotDQ,/data/0/entries/4/entries/2/name,Background,背景,project-proposed
HotDQ,/data/0/entries/4/entries/2/entries/3/name,Secrets,秘密,project-proposed
HotDQ,/data/0/entries/4/entries/2/entries/4/name,Allied Forces,聯盟力量,project-proposed
HotDQ,/data/0/entries/4/entries/3/name,Overview,概述,project-proposed
HotDQ,/data/0/entries/4/entries/4/name,Outline,大綱,project-proposed
HotDQ,/data/0/entries/4/entries/5/name,Stage 1,階段 1,project-proposed
HotDQ,/data/0/entries/4/entries/5/entries/0/name,First Council of Waterdeep,深水城第一議會,project-proposed
HotDQ,/data/0/entries/4/entries/5/entries/1/name,Varram the White,白龍語者瓦拉姆,project-proposed
HotDQ,/data/0/entries/4/entries/5/entries/2/name,The Sea of Moving Ice,移動冰海,project-proposed
HotDQ,/data/0/entries/4/entries/5/entries/3/name,The Cult Strikes Back (Part 1),邪教反擊（第一部分）,project-proposed
HotDQ,/data/0/entries/4/entries/6/name,Stage 2,階段 2,project-proposed
HotDQ,/data/0/entries/4/entries/6/entries/0/name,Second Council of Waterdeep,深水城第二議會,project-proposed
