book,context,page,type,classification_confidence,english,zh_tw
KftGV,data/0/name,5,HEADING_LABEL,0.99,Introduction–A Collection of Heists,導言：劫案集
KftGV,data/0/entries/0,5,DM_INSTRUCTION,0.85,"{@i Keys from the Golden Vault} presents thirteen Dungeons & Dragons adventures that feature heists. In each adventure, the characters receive a mission, plan the job, execute their plan, and try to escape the scene. You can run each heist as a standalone adventure or as part of a larger campaign (see ""{@area A Campaign of Heists|005|x}"" later in this introduction). Each adventure can be adapted to take place in any campaign setting you wish.","{@i 金庫之鑰}提供了十三個以劫案為主題的《龍與地下城》冒險故事。在每個冒險中，角色們將接受任務、制定計劃、執行方案，並試圖逃離現場。你可以將每個劫案作為獨立的冒險來執行，也可以將其作為更大戰役的一部分（參見引言後面的""{@area 一場劫案行動|005|x}""）。每個冒險都可以根據你的意願改編為任何戰役設定。"
KftGV,data/0/entries/1/title,5,NARRATIVE,0.8,"A rogue rappels down the icy walls of Revel's End, a prison in the frozen north",一個盜賊沿著瑞維爾盡頭的冰牆滑降，那是一個位於極北之地的監獄
KftGV,data/0/entries/2/name,5,HEADING_LABEL,0.99,Using the Adventures,使用冒險
KftGV,data/0/entries/2/entries/0,5,DM_INSTRUCTION,0.85,The Heist Adventures table summarizes the adventures in this anthology. Each adventure is designed for four to six characters of a particular level and adheres to the following narrative structure:,《盜竊冒險》表格總結了這本選集中的冒險。每個冒險都設計為四到六名特定等級的角色，並遵循以下敘事結構：
KftGV,data/0/entries/2/entries/1/items/0/name,5,HEADING_LABEL,0.99,Mission Briefing,任務簡報
KftGV,data/0/entries/2/entries/1/items/0/entry,5,DM_INSTRUCTION,0.85,"The characters are recruited to undertake a specific job. In most cases, this involves procuring an object.",角色們被招募去執行一個特定的任務。在大多數情況下，這涉及到獲取一個物品。
KftGV,data/0/entries/2/entries/1/items/1/name,5,HEADING_LABEL,0.99,Plan the Heist,策劃搶劫
KftGV,data/0/entries/2/entries/1/items/1/entry,5,DM_INSTRUCTION,0.85,"The characters investigate the heist location, learn about the obstacles they need to overcome, and strategize about completing the job. Each adventure includes a way for the characters to create or obtain a map of the target location.",角色們調查搶劫地點，瞭解他們需要克服的障礙，並策劃完成這項工作。每個冒險都包括一種方式，讓角色們能夠建立或獲得目標地點的地圖。
KftGV,data/0/entries/2/entries/1/items/2/name,5,HEADING_LABEL,0.99,Execute the Heist,執行搶劫
KftGV,data/0/entries/2/entries/1/items/2/entry,5,DM_INSTRUCTION,0.85,The characters enact their plans. Unforeseen complications often arise during this stage.,角色們實施他們的計劃。在這個階段，往往會出現一些意料之外的複雜情況。
KftGV,data/0/entries/2/entries/1/items/3/name,5,HEADING_LABEL,0.99,Conclude the Heist,完成劫案
KftGV,data/0/entries/2/entries/1/items/3/entry,5,DM_INSTRUCTION,0.85,The characters' success determines their reward and how the story might progress beyond the main adventure.,角色們的成功決定了他們的獎勵以及故事可能會如何超越主要冒險繼續發展。
KftGV,data/0/entries/2/entries/2,5,NARRATIVE,0.8,"These short adventures work best with players who enjoy the heist genre. In addition to thrills, drama, strategizing, and twists, each adventure includes opportunities for exploration, roleplaying, and combat.",這些短小的冒險最適合那些喜歡搶劫題材的玩家。除了刺激、戲劇性、策略制定和情節轉折之外，每個冒險都包括了探索、角色扮演和戰鬥的機會。
KftGV,data/0/entries/3/name,5,HEADING_LABEL,0.99,Running the Adventures,執行冒險
KftGV,data/0/entries/3/entries/0,5,NARRATIVE,0.8,"To run these adventures, you need the fifth edition core rulebooks ({@book Player's Handbook|PHB}, {@book Dungeon Master's Guide|DMG}, and {@book Monster Manual|MM}).","為了執行這些冒險，你需要第五版核心規則書（{@book 玩家手冊|PHB}, {@book 城主指南|DMG}, 和 {@book 怪物圖鑑|MM}）。"
KftGV,data/0/entries/3/entries/1/entries/0,5,READ_ALOUD,0.99,"Text that appears in a box like this is meant to be read aloud or paraphrased for the players when their characters first arrive at a location or under a specific circumstance, as described in the text.",在這樣方框中的文段，是在玩家角色們第一次到達某地區或在特定情況時，為其讀出或解釋的內容。
KftGV,data/0/entries/3/entries/2,5,DM_INSTRUCTION,0.85,"When a creature's name appears in bold type, that's a visual cue pointing you to its stat block as a way of saying, ""Hey, DM, get this creature's stat block ready. You're going to need it."" If the stat block appears elsewhere, the text tells you so; otherwise, you can find the stat block in the {@book Monster Manual|MM}.",當一個生物的名字以粗體字出現時，這是一個視覺提示，指向它的統計塊，作為一種方式說：'嘿，DM，準備好這個生物的統計塊。你會需要它的。'如果統計塊出現在其他地方，文字會告訴你；否則，你可以在《{@book 怪物圖鑑|MM}》中找到統計塊。
KftGV,data/0/entries/3/entries/3,5,NARRATIVE,0.8,Spells and equipment mentioned in the adventure are described in the {@book Player's Handbook|PHB}. Magic items are described in the {@book Dungeon Master's Guide|DMG} unless the adventure's text directs you to an item's description elsewhere.,冒險中提到的法術和裝備在《{@book 玩家手冊|PHB}》中有描述。魔法物品在《{@book 城主指南|DMG}》中有描述，除非冒險文字指導您到其他地方檢視物品的描述。
KftGV,data/0/entries/3/entries/4/name,5,HEADING_LABEL,0.99,Creating a Heist Crew,組建盜竊團隊
KftGV,data/0/entries/3/entries/4/entries/0,5,DM_INSTRUCTION,0.85,This book's adventures require the characters to practice teamwork. Encourage your players to think of their characters as longtime associates or perhaps relatives so they feel tight-knit from the start.,這本書的冒險要求角色們練習團隊合作。鼓勵你的玩家將他們的角色想象成長期合作伙伴或者可能是親戚，這樣他們從一開始就感覺緊密相連。
